q_idx,label,gpt_prediction,gemini_prediction,strategy,config,orig_gemini_prediction,orig_gpt_prediction,criteria
432,"En los más de 130 años desde que se jugó el primer derbi entre el Celtic y el Rangers, sólo ha habido un día en el que los aficionados de los dos gigantes del fútbol escocés se unieron en un sólo sentimiento.","Hace 30 años, Maurice Johnston, exjugador del Celtic, fichó por el Rangers, rompiendo la tradición de no fichar jugadores católicos. A pesar de generar rechazo, Johnston se convirtió en ídolo del Rangers y anotó un gol decisivo en el derbi contra el Celtic. Su fichaje abrió la puerta a más jugadores católicos en el equipo.","Maurice Johnston, considerado un ídolo católico del Celtic, se convierte en el primer jugador católico en fichar por el rival protestante Rangers, lo que provoca un rechazo masivo por parte de ambas aficiones.",0,"{'should_shuffle': True, 'should_remove_sentence': False, 'should_remove_random_words': {'enabled': False, 'number': 0}, 'should_replace_words_with_lemma_form': {'enabled': False, 'number': 0}, 'should_replace_conjunctions': {'enabled': False, 'number': 0}, 'should_replace_ner': {'enabled': False, 'number': 0}, 'should_random_sentence_from_another_paper': {'enabled': False, 'number': 0}}",,,
100,"""Santo Padre, me animé a escribirle esta carta porque estoy cansado de pelear, llorar y sufrir"".","El viaje del Papa a Chile ha reavivado el debate sobre los abusos sexuales de sacerdotes. Juan Carlos Cruz escribió una carta detallando los abusos sufridos por él y otros menores por parte de un sacerdote chileno. La carta fue recibida por el asesor del Papa en la lucha contra los abusos, pero no se sabe si el Papa la leyó. En la carta se denuncia el supuesto encubrimiento de los delitos durante años. El Papa ha defendido al obispo acusado de encubrimiento, pero se disculpó por sus declaraciones. El Vaticano enviará a un experto en crímenes sexuales para investigar el caso.","Sin embargo, el verdadero lío llegó en 2014. Estos son cuatro de los jugadores peruanos que salieron en el Panini de Argentina 78. La Juan Carlos Barros al Papa Francisco en 2015 detalla los abuso sexuales sufridos por él otros menores mano del sacerdote cardenal O'Malley. Barros acusar al obispo Juan Cruz encubrir estos abusos, habiendo sido testigo ellos. La controversiar radica en a menos que el Papa leyó la Barros, entregada por el Fernando Karadima, pues la información contenida en ella influir en la investigación sobre Cruz. El Papa Francisco, durante su visita Chile, defendió Cruz alegar falta pruebas, cuando luego se disculpó por sus declaración.",2,"{'should_shuffle': True, 'should_remove_sentence': True, 'should_remove_random_words': {'enabled': True, 'number': 14}, 'should_replace_words_with_lemma_form': {'enabled': True, 'number': 35}, 'should_replace_conjunctions': {'enabled': True, 'number': 3}, 'should_replace_ner': {'enabled': True, 'number': 4}, 'should_random_sentence_from_another_paper': {'enabled': True, 'number': 2}}","La carta de Juan Carlos Cruz al Papa Francisco en 2015 detalla los abusos sexuales sufridos por él y otros menores a manos del sacerdote Fernando Karadima.  Cruz acusa al obispo Juan Barros de encubrir estos abusos,  habiendo sido testigo de ellos.  El Papa Francisco, durante su visita a Chile, defendió a Barros alegando falta de pruebas,  pero luego se disculpó por sus declaraciones.  La controversia radica en si el Papa leyó la carta de Cruz, entregada por el cardenal O'Malley, y si la información contenida en ella influirá en la investigación sobre Barros.
","El viaje del Papa a Chile ha reavivado el debate sobre los abusos sexuales de sacerdotes. Juan Carlos Cruz escribió una carta detallando los abusos sufridos por él y otros menores por parte de un sacerdote chileno. La carta fue recibida por el asesor del Papa en la lucha contra los abusos, pero no se sabe si el Papa la leyó. En la carta se denuncia el supuesto encubrimiento de los delitos durante años. El Papa ha defendido al obispo acusado de encubrimiento, pero se disculpó por sus declaraciones. El Vaticano enviará a un experto en crímenes sexuales para investigar el caso.","['Relevance', 'Consistency', 'Coherence', 'Fluency']"
506,"Un enfrentamiento entre presos en el Internado Judicial José Antonio Anzoátegui, en el oriente de Venezuela, dejó al menos 12 muertos y una decena de heridos.","En el centro de detención Puente Ayala en Venezuela, se produjo una batalla entre reclusos que dejó 12 muertos, la mayoría por heridas de bala. Diez personas fueron retiradas del centro y serán imputadas por lo sucedido. Estas muertes ocurren en medio de una profunda crisis política y social en el país. Según las autoridades, el enfrentamiento se debió a la resistencia de un grupo de reos al cambio de régimen penitenciario. Los heridos fueron trasladados a hospitales cercanos.","Un enfrentamiento en la cárcel venezolana Puente Ayala dejó 12 muertos y varios heridos.  La riña se desató durante una transición al ""nuevo régimen penitenciario"" y se atribuye a la resistencia de algunos reclusos al cambio.  Según informes, el preso que controlaba la cárcel, ""El Balua"", fue asesinado, lo que desencadenó la violencia.  Las autoridades afirman haber retomado el control del penal, y diez personas serán imputadas por los hechos.  El incidente ocurre en medio de la profunda crisis política y social que vive Venezuela.
",0,"{'should_shuffle': True, 'should_remove_sentence': True, 'should_remove_random_words': {'enabled': True, 'number': 11}, 'should_replace_words_with_lemma_form': {'enabled': True, 'number': 46}, 'should_replace_conjunctions': {'enabled': True, 'number': 3}, 'should_replace_ner': {'enabled': True, 'number': 7}, 'should_random_sentence_from_another_paper': {'enabled': True, 'number': 3}}",,,
526,"En la sede de las Abuelas de Plaza de Mayo, en la calle Virrey Cevallos de Buenos Aires, cuentan en la organización que a juzgar por el aluvión de consultas, la de este miércoles pudo ser una jornada récord.","hallazgo Guido, nieto 114 las Abuelas Plaza de mayo, ha generar esperanza y animado otros jóvenes con duda sobre su identidad a acercar él. Abuelas esperar encontrar a los 400 nieto restantes y se mostrar optimistas, aunque saber llevar tiempo.","El hallazgo de Guido, el nieto de Estela de Carlotto (fundadora de Abuelas), ha reavivado las esperanzas de otras Abuelas de encontrar a sus nietos desaparecidos. La noticia ha generado un aumento de llamadas y solicitudes de pruebas de ADN de jóvenes con dudas sobre su identidad. Las Abuelas esperan que el impacto de Guido anime a más jóvenes a buscar la verdad sobre su pasado, aunque reconocen que el camino hacia encontrar a los 400 nietos restantes será largo.",1,"{'should_shuffle': False, 'should_remove_sentence': False, 'should_remove_random_words': {'enabled': True, 'number': 11}, 'should_replace_words_with_lemma_form': {'enabled': True, 'number': 39}, 'should_replace_conjunctions': {'enabled': True, 'number': 2}, 'should_replace_ner': {'enabled': False, 'number': 0}, 'should_random_sentence_from_another_paper': {'enabled': False, 'number': 0}}","El hallazgo de Guido, el nieto de Estela de Carlotto (fundadora de Abuelas), ha reavivado las esperanzas de otras Abuelas de encontrar a sus nietos desaparecidos. La noticia ha generado un aumento de llamadas y solicitudes de pruebas de ADN de jóvenes con dudas sobre su identidad. Las Abuelas esperan que el impacto de Guido anime a más jóvenes a buscar la verdad sobre su pasado, aunque reconocen que el camino hacia encontrar a los 400 nietos restantes será largo.","El hallazgo de Guido, el nieto 114 de las Abuelas de Plaza de Mayo, ha generado esperanza y animado a otros jóvenes con dudas sobre su identidad a acercarse a la organización. Las Abuelas esperan encontrar a los 400 nietos restantes y se muestran optimistas, aunque saben que llevará tiempo.",['Coherence']
31,"La caravana de migrantes que salió de Centroamérica a mediados de marzo llegó este domingo a la frontera entre México y Estados Unidos, donde algunos de sus integrantes intentarán obtener asilo en el país del norte.","A pesar las amenaza de arresto por parte de las autoridad estadounidenses, alrededor 150 200 persona esperan poder solicitar asilo. Un grupo de migrantes centroamericanos, huir de la violencia y persecución sus país origen, llegaron la frontera México Estados Unidos en busca asilo. Sin embargo, debido faltar capacidad, no se saber cuándo podrán ser atendidos, dejando él un estado incertidumbre.","Cerca de 300 migrantes de una caravana de 2.000 llegaron a la frontera entre México y EE. UU., solicitando asilo y protestando contra las amenazas que enfrentaron en sus países de origen.",1,"{'should_shuffle': True, 'should_remove_sentence': False, 'should_remove_random_words': {'enabled': True, 'number': 15}, 'should_replace_words_with_lemma_form': {'enabled': True, 'number': 39}, 'should_replace_conjunctions': {'enabled': True, 'number': 5}, 'should_replace_ner': {'enabled': False, 'number': 0}, 'should_random_sentence_from_another_paper': {'enabled': False, 'number': 0}}","Cerca de 300 migrantes de una caravana de 2.000 llegaron a la frontera entre México y EE. UU., solicitando asilo y protestando contra las amenazas que enfrentaron en sus países de origen.","Un grupo de migrantes centroamericanos, que huyeron de la violencia y persecución en sus países de origen, llegaron a la frontera entre México y Estados Unidos en busca de asilo. A pesar de las amenazas de arresto por parte de las autoridades estadounidenses, alrededor de 150 a 200 personas esperan poder solicitar asilo. Sin embargo, debido a la falta de capacidad, no se sabe cuándo podrán ser atendidos, dejándolos en un estado de incertidumbre.","['Fluency', 'Coherence']"
425,"La presidenta de Brasil, Dilma Rousseff, sufrió este jueves un malestar después del segundo debate con el candidato rival a la presidencia, Aécio Neves, que la obligó a interrumpir una entrevista en vivo.","Rousseff le bajó la presión durante una, mientras continuó después de beber agua. Con esto está de acuerdo Patricio Fernández, periodista y autor de ""Sobre la marcha"", un libro que escribió tras observar de cerca el estallido social que comenzó en 2019. El entre los candidato fue tenso, intercambiaron acusaciones corrupción aunque nepotismo. Pero en cinco de las 346 comunas del país, el sentimiento mayoritario no debió ser de alegría, pues ahí fueron más los que votaron por mantener el status quo. quedar dos debate más antes segunda vuelta el 26 octubre. la primera vueltar, Rousseff obtener 41,58% de los votos mientras Neves el 33,82%. Ahora puedes recibir notificaciones de BBC News Mundo.","En el tenso segundo debate presidencial de Brasil, los candidatos Rousseff y Neves intercambiaron acusaciones de corrupción, mentiras y nepotismo. El debate fue tan intenso que Rousseff sufrió una bajada de presión. Tres debates más están programados antes de la segunda vuelta el 26 de octubre.",1,"{'should_shuffle': True, 'should_remove_sentence': True, 'should_remove_random_words': {'enabled': True, 'number': 10}, 'should_replace_words_with_lemma_form': {'enabled': True, 'number': 33}, 'should_replace_conjunctions': {'enabled': True, 'number': 5}, 'should_replace_ner': {'enabled': True, 'number': 6}, 'should_random_sentence_from_another_paper': {'enabled': True, 'number': 3}}","En el tenso segundo debate presidencial de Brasil, los candidatos Rousseff y Neves intercambiaron acusaciones de corrupción, mentiras y nepotismo. El debate fue tan intenso que Rousseff sufrió una bajada de presión. Tres debates más están programados antes de la segunda vuelta el 26 de octubre.","El segundo debate entre los candidatos fue tenso, intercambiaron acusaciones de corrupción y nepotismo. A Rousseff le bajó la presión durante una entrevista, pero continuó después de beber agua. Quedan dos debates más antes de la segunda vuelta el 26 de octubre. En la primera vuelta, Rousseff obtuvo el 41,58% de los votos y Neves el 33,82%.","['Relevance', 'Coherence', 'Fluency', 'Consistency']"
502,El francés Ivan Kwiatkowski regresó a casa una tarde y se enteró de que un hacker había intentado estafar a sus padres. Entonces planeó una cuidadosa venganza.,"El texto habla sobre la estafa del soporte técnico, en la cual los estafadores hacen creer a las víctimas que sus computadoras tienen problemas y les venden programas inútiles. Ivan Kwiatkowski decidió vengarse de los estafadores enviándoles un virus en lugar de una fotografía de su tarjeta de crédito. Aunque algunos critican esta acción, muchos apoyaron la idea de hacer perder tiempo a los estafadores.","Iván Kwiatkowski vengar los estafador enviando él virus bloquear archivo (Las estafas por) disfrazado foto tarjeta crédito. Locky ransomware Internet, ya que la ""estafa del soporte técnico"", intentan robar información financiera. Los experto debaten como es ético ""hackear"" los hackers, porque sí recomendar hacer él perder el tiempo para reducir su rentabilidad. Y eso es tan sencillo como retrasar la entrada una hora o incluso dar clases por la tarde, cuando ellos están más activos"", dice.",2,"{'should_shuffle': True, 'should_remove_sentence': True, 'should_remove_random_words': {'enabled': True, 'number': 8}, 'should_replace_words_with_lemma_form': {'enabled': True, 'number': 35}, 'should_replace_conjunctions': {'enabled': True, 'number': 6}, 'should_replace_ner': {'enabled': True, 'number': 9}, 'should_random_sentence_from_another_paper': {'enabled': True, 'number': 1}}","Las estafas por Internet, como la ""estafa del soporte técnico"", intentan robar información financiera. Iván Kwiatkowski se vengó de los estafadores enviándoles un virus que bloquea archivos (Locky ransomware) disfrazado de foto de tarjeta de crédito. Los expertos debaten si es ético ""hackear"" a los hackers, pero sí recomiendan hacerles perder el tiempo para reducir su rentabilidad.","El texto habla sobre la estafa del soporte técnico, en la cual los estafadores hacen creer a las víctimas que sus computadoras tienen problemas y les venden programas inútiles. Ivan Kwiatkowski decidió vengarse de los estafadores enviándoles un virus en lugar de una fotografía de su tarjeta de crédito. Aunque algunos critican esta acción, muchos apoyaron la idea de hacer perder tiempo a los estafadores.","['Fluency', 'Consistency', 'Relevance', 'Coherence']"
231,"Un avión de pasajeros de la línea Malaysia Airlines con 295 pasajeros se estrelló este jueves en Ucrania, cerca de la villa de Hrabove, en Donbas, en la frontera con Rusia.","Un avión de Malaysia Airlines se estrelló en el este de Ucrania, posiblemente derribado por un misil. Hay numerosos cadáveres y restos del avión en la escena. Tanto los separatistas prorrusos como el gobierno ucraniano se culpan mutuamente. El presidente ruso y el estadounidense conversaron sobre el incidente.","Un avión de Malaysia Airlines se estrelló en el este de Ucrania, cerca de la frontera rusa, matando a todos los 298 pasajeros y tripulantes. Testigos vieron restos ardiendo y cuerpos en el suelo. Su difusión ocurre en medio de una disputa diplomática y retórica entre Argentina y el Reino Unido sobre la posesión legal de las islas, tres décadas después de la guerra entre ambos países por el archipiélago. Su difusión ocurre en medio de una disputa diplomática y retórica entre Argentina y el Reino Unido sobre la posesión legal de las islas, tres décadas después de la guerra entre ambos países por el archipiélago. El presidente de Ucrania afirma que el avión fue derribado, mientras que los separatistas prorrusos y el gobierno ucraniano se culpan mutuamente. A su juicio, si se siguiese el mismo razonamiento, Montevideo también podría reclamar legalmente las Misiones Orientales, que eran jurisdicción española y fueron ocupadas por los portugueses a comienzos del siglo XIX.",2,"{'should_shuffle': False, 'should_remove_sentence': True, 'should_remove_random_words': {'enabled': False, 'number': 0}, 'should_replace_words_with_lemma_form': {'enabled': False, 'number': 0}, 'should_replace_conjunctions': {'enabled': False, 'number': 0}, 'should_replace_ner': {'enabled': False, 'number': 0}, 'should_random_sentence_from_another_paper': {'enabled': True, 'number': 3}}","Un avión de Malaysia Airlines se estrelló en el este de Ucrania, cerca de la frontera rusa, matando a todos los 298 pasajeros y tripulantes. Testigos vieron restos ardiendo y cuerpos en el suelo. El presidente de Ucrania afirma que el avión fue derribado, mientras que los separatistas prorrusos y el gobierno ucraniano se culpan mutuamente.","Un avión de Malaysia Airlines se estrelló en el este de Ucrania, posiblemente derribado por un misil. Hay numerosos cadáveres y restos del avión en la escena. Tanto los separatistas prorrusos como el gobierno ucraniano se culpan mutuamente. El presidente ruso y el estadounidense conversaron sobre el incidente.",['Relevance']
120,"El candidato a la presidencia de Estados Unidos Donald Trump se encontraba dando un discurso en un evento de campaña en Reno, Nevada, cuando de repente varios agentes del Servicio Secreto lo hicieron encorvarse y lo sacaron corriendo del escenario.","El presidencial fue removido por el Servicio Secreto después que alguien público gritar ""¡Un revólver! "". Crites fue detenido desalojado recinto mientras era agredido por multitud. Sin embargo, no encontró ningún arma posesión de la persona que gritar, Austyn Crites. A pesar del incidente, el republicano, Donald Trump, regresó al y continuó su. Trump agradecer a las autoridad por su rápida respuesta cerró el.","Un candidato presidencial fue retirado del escenario por el Servicio Secreto tras un grito de alerta sobre un arma. El candidato regresó poco después, agradeciendo a los agentes y asegurando que no serían detenidos.  Un hombre con una pancarta anti-Trump, identificado como Austyn Crites, fue detenido tras el incidente, alegando que fue agredido por la multitud.  Aunque se reportó la presencia de un arma, no se encontró ninguna. El evento continuó tras el incidente y el candidato agradeció la respuesta de las autoridades.
",1,"{'should_shuffle': True, 'should_remove_sentence': False, 'should_remove_random_words': {'enabled': True, 'number': 15}, 'should_replace_words_with_lemma_form': {'enabled': True, 'number': 43}, 'should_replace_conjunctions': {'enabled': True, 'number': 5}, 'should_replace_ner': {'enabled': False, 'number': 0}, 'should_random_sentence_from_another_paper': {'enabled': False, 'number': 0}}","Un candidato presidencial fue retirado del escenario por el Servicio Secreto tras un grito de alerta sobre un arma. El candidato regresó poco después, agradeciendo a los agentes y asegurando que no serían detenidos.  Un hombre con una pancarta anti-Trump, identificado como Austyn Crites, fue detenido tras el incidente, alegando que fue agredido por la multitud.  Aunque se reportó la presencia de un arma, no se encontró ninguna. El evento continuó tras el incidente y el candidato agradeció la respuesta de las autoridades.
","El candidato presidencial fue removido del escenario por el Servicio Secreto después de que alguien del público gritara ""¡Un revólver!"". Sin embargo, no se encontró ningún arma en posesión de la persona que gritó, Austyn Crites. Crites fue detenido y desalojado del recinto mientras era agredido por la multitud. A pesar del incidente, el candidato republicano, Donald Trump, regresó al escenario y continuó su discurso. Trump agradeció a las autoridades por su rápida respuesta y cerró el evento.","['Coherence', 'Fluency']"
229,"En una zona tradicionalmente desértica, las inusuales lluvias provocaron las peores inundaciones en 80 años en el norte de Chile.","La región Chile, famosa por el rescate los 33 minero, ha sido azotada por un fuerte temporal después de una intensa sequía. Fuerzas Militares, Atacama, han provocar la evacuación cientos de personas. El resto de Theia habría sido incorporado por la Tierra. ""Elementos clave para la vida"" En entrevista con BBC News Brasil, el geólogo y científico especializado en planetas Rajdeep Dasgupta recordó que ""el carbono, el oxígeno, el hidrógeno, el nitrógeno, el azufre y el fósforo son los elementos clave para la vida tal como la conocemos"". El resto de Theia habría sido incorporado por la Tierra. Hasta ahora, hay siete persona muertas, 19 desaparecidas a menos que casi 2.000 damnificadas. gobierno ha decretar estado constitucional de excepción por catástrofe aunque las Las la ciudad Copiapó están a cargo del orden. La Presidenta Michelle Bachelet se ha trasladar personalmente a la.","Inundaciones severas en la región de Atacama, Chile, han causado la muerte de siete personas, la desaparición de 19 y afectado a casi 2.000.  Las intensas lluvias, que no se veían desde 1997, desbordaron los ríos Copiapó, Salado y Huasco, inundando calles y casas. Se declaró estado de excepción y las Fuerzas Militares tomaron el control, mientras la presidenta Bachelet viajó a la zona afectada.  Se esperan más lluvias, lo que aumenta la preocupación por posibles deslizamientos de tierra.  Copiapó evacuó a 400 personas y miles quedaron sin electricidad.
",1,"{'should_shuffle': True, 'should_remove_sentence': True, 'should_remove_random_words': {'enabled': True, 'number': 8}, 'should_replace_words_with_lemma_form': {'enabled': True, 'number': 36}, 'should_replace_conjunctions': {'enabled': True, 'number': 4}, 'should_replace_ner': {'enabled': True, 'number': 9}, 'should_random_sentence_from_another_paper': {'enabled': True, 'number': 3}}","Inundaciones severas en la región de Atacama, Chile, han causado la muerte de siete personas, la desaparición de 19 y afectado a casi 2.000.  Las intensas lluvias, que no se veían desde 1997, desbordaron los ríos Copiapó, Salado y Huasco, inundando calles y casas. Se declaró estado de excepción y las Fuerzas Militares tomaron el control, mientras la presidenta Bachelet viajó a la zona afectada.  Se esperan más lluvias, lo que aumenta la preocupación por posibles deslizamientos de tierra.  Copiapó evacuó a 400 personas y miles quedaron sin electricidad.
","Las inundaciones en la ciudad de Copiapó, Chile, han provocado la evacuación de cientos de personas. La región de Atacama, famosa por el rescate de los 33 mineros, ha sido azotada por un fuerte temporal después de una intensa sequía. Hasta ahora, hay siete personas muertas, 19 desaparecidas y casi 2.000 damnificadas. El gobierno ha decretado estado constitucional de excepción por catástrofe y las Fuerzas Militares están a cargo del orden. La Presidenta Michelle Bachelet se ha trasladado personalmente a la zona.","['Relevance', 'Coherence', 'Fluency', 'Consistency']"
