q_idx,label,gpt_prediction,gemini_prediction
4,Sejumlah tenaga kesehatan di India dilaporkan mengalami serangan dari anggota masyarakat selagi berupaya menghentikan penyebaran virus corona.,"Dokter di India bekerja lembur untuk menghentikan penyebaran virus corona. Beberapa dokter mengalami serangan dan diskriminasi dari masyarakat. Meskipun demikian, mereka tetap berjuang dan membutuhkan dukungan semua orang dalam melawan virus corona.","Dokter di India bekerja keras menangani pandemi Covid-19, namun menghadapi diskriminasi dan kekerasan.  Beberapa dokter diserang, diludahi, dan diusir oleh warga yang ketakutan.  Bahkan, ada laporan pelecehan terhadap perawat perempuan oleh pasien.  Sebuah video viral menunjukkan dua dokter perempuan dilempari batu saat bertugas.  Meskipun menghadapi tantangan, para dokter tetap berkomitmen menjalankan tugas mereka.
"
7,Pihak berwenang Turki menyita lebih dari 1.000 jaket pelampung palsu yang dibuat untuk para pengungsi yang ingin menyeberang Laut Aegea menuju Yunani.,Riverdance di Irlandia memecahkan rekor dengan lebih dari 2.000 penari dari 163 sekolah tari di 44 negara yang berkumpul di pinggiran sungai Liffey. Pertunjukan ini dipimpin oleh Jean Butler dan merupakan bagian dari program The Gathering untuk menarik turis ke Irlandia. Guinness World Records mencatat 1.693 penari yang berpartisipasi.,"Polisi menggerebek gudang di Izmir yang memproduksi jaket pelampung palsu untuk pengungsi.  Jaket-jaket tersebut diisi dengan material tak layak apung seperti kotak kemasan, bukan bahan pengapung.  Empat pekerja, termasuk dua anak perempuan Suriah, tertangkap basah membuat jaket palsu.  Penggerebekan terjadi setelah lebih 20 jenazah pengungsi ditemukan di perairan Turki, banyak yang mengenakan jaket pelampung.  Banyak pengungsi membeli jaket murah yang tidak berfungsi, meningkatkan risiko tenggelam saat menyeberang ke Eropa.
"
10,"Boneka, Lego dan aneka perangkat teknologi diprediksi menjadi mainan yang paling diinginkan anak-anak Inggris pada Natal tahun ini.","Bendera pelangi LGBT, diciptakan oleh Gilbert Baker pada tahun 1978, telah menjadi simbol kebanggaan, perayaan, dan protes kaum LGBT di seluruh dunia. Homoseksualitas masih dianggap ilegal di beberapa negara seperti Cina, Rusia, Uganda, dan India. Namun, ada juga negara seperti Inggris dan Israel yang telah melegalkan homoseksualitas.","Daftar Mainan Impian dari Asosiasi Pedagang Mainan Inggris menampilkan mainan dengan rentang harga Rp154.000 hingga Rp1,9 juta.  Mainan termurah adalah Lego Minecraft seharga Rp154.000.  Kidizoom Smart Watch seharga Rp770.000 menawarkan fitur pemantauan lokasi anak.  Senapan Nerf Demolisher dengan dua jenis amunisi dihargai Rp867.000.  Boneka Frozen Sparkle dan Toot-Toot Animals Safari Park masing-masing dijual seharga Rp324.000 dan Rp770.000.
"
39,Perusahaan Investasi Cina (CIC) tengah dalam perundingan dengan pemerintah Italia untuk kemungkinan membeli surat utang negeri itu.,"Lagu Survival oleh Muse adalah lagu yang dramatis dan penuh semangat. Meskipun ada yang menganggapnya bombastis, lagu ini berhasil menarik perhatian banyak orang. Lagu ini memiliki durasi hampir lima setengah menit dan mengandung pesan motivasi untuk mencapai hasil terbaik. Meskipun ada yang tidak menyukainya, lagu ini akan selalu diingat karena keunikannya.","Buruh Italia berunjuk rasa menentang kebijakan penghematan anggaran.  Cina, melalui Kepala CIC Lou Jiwei, telah bertemu dengan pejabat Italia membahas pembelian surat utang dan investasi di perusahaan strategis Italia.  Kabar ini sempat mendorong rebound pasar saham AS, namun pasar saham Asia meresponnya dengan beragam karena kekhawatiran akan krisis utang Eropa, terutama Yunani.  Utang Italia mencapai 120% dari GDP, sementara Cina memiliki cadangan devisa lebih dari US$3 triliun.  Kondisi ini mendorong hubungan saling menguntungkan antara kedua negara.
"
70,"Industri peralatan renang, Speedo, menghentikan sponsor untuk perenang Amerika Serikat, Ryan Lochte, yang 'mengarang' laporan perampokan di Olimpiade Rio.","Prancis meningkatkan keamanan setelah serangan terhadap Charlie Hebdo dan toko Yahudi. Seorang pria Aljazair ditangkap atas dugaan merencanakan serangan gereja. 1.573 warga Prancis terlibat dalam jaringan teror, 442 di antaranya berada di Suriah.","Speedo mengakhiri kontrak sponsornya dengan perenang Ryan Lochte setelah insiden perusakan toilet di Rio.  Lochte dan tiga perenang AS lainnya awalnya mengaku dirampok, namun kemudian terbukti berbohong.  Speedo mengecam perilaku Lochte yang bertentangan dengan nilai merek mereka.  Meskipun nilai kontrak tidak dipublikasikan, Speedo akan mendonasikan US$50.000  dari sponsor Lochte untuk amal di Brasil.  Pada tahun 2012, Lochte diperkirakan memiliki pendapatan US$2 juta dari berbagai sponsor.
"
72,"Suhu dingin ekstrem yang melanda wilayah Eropa Timur dan Rusia telah merenggut hampir 200 jiwa sejauh ini, jumlah korban terbesar terjadi di Ukraina.",Mikel Arteta berjanji untuk meningkatkan permainan setelah kekalahan memalukan Arsenal dari Swansea. Dia berharap timnya bisa bangkit dalam pertandingan Selasa dan mendapatkan kemenangan di kandang. Arsenal saat ini berada di peringkat empat klasemen Liga Primer.,"Suhu dingin ekstrem melanda Eropa Timur, khususnya Ukraina, dengan suhu mencapai minus 20 derajat Celcius dan menyebabkan lebih dari 80 kematian.  Musim dingin datang lebih awal di Ukraina, mengakibatkan Kiev dan wilayah lain tertutup lapisan es tebal.  Suhu diperkirakan akan terus turun di bawah minus 23 derajat Celcius.  Meskipun warga Ukraina menganggap cuaca dingin ini biasa, puluhan orang juga meninggal di Rusia dan Polandia.  Sementara itu, banjir akibat hujan deras mengganggu transportasi di Inggris menjelang liburan Natal dan Tahun Baru.
"
85,"Perempuan usia pelajar di India mengalami kekurangan pembalut karena sekolah – yang selama ini menjadi tempat distribusi – tutup selama pandemi. Ini membuat jutaan remaja di seluruh India cemas, tulis wartawan BBC Geeta Pandey dari Delhi.",Penundaan eksekusi Mary Jane Veloso disambut dengan kegembiraan di Filipina. Hal ini menunjukkan buruknya sistem hukum di Indonesia dan perlunya perubahan dalam penegakan hukum dan pemerintahan yang bersih. Penting untuk menghapuskan hukuman mati atau setidaknya menghentikan penerapannya. Presiden Jokowi perlu mengubah pendekatannya dalam menolak permohonan grasi.,"Di India, distribusi pembalut gratis untuk siswi terganggu akibat pandemi.  Banyak siswi, seperti Priya, terpaksa membeli pembalut sendiri atau menggunakan kain bekas karena sekolah tutup.  Aktivis seperti Madhu Bala Rawat menyuarakan keprihatinan atas kurangnya akses pembalut,  menekankan pentingnya pembalut bagi perempuan.  Meskipun ada upaya dari LSM dan pemerintah,  minimnya transportasi dan tabu menstruasi mempersulit akses pembalut, terutama di daerah pedesaan.
"
87,"Seorang perempuan harus mendapat pertolongan sesudah ia ""menghilang"" ditelan sebuah lubang yang tiba-tiba muncul di trotoar.","Blatter tidak mengundurkan diri sebagai presiden FIFA, tetapi menyerahkan nasibnya ke kongres FIFA. Dia diperkirakan akan mencalonkan diri lagi sebagai presiden. Blatter juga tidak akan hadir di final Piala Dunia Perempuan karena penyelidikan korupsi yang sedang berlangsung.","Seorang perempuan terperosok ke dalam lubang sedalam satu meter di Fulham, London barat daya, saat sedang mendorong kereta dorong.  Sebelumnya, seorang pria juga terjatuh ke lubang yang sama dan mengalami cedera kaki.  Saksi mata mendengar teriakan dan melihat perempuan tersebut jatuh ke dalam lubang.  Seorang pegawai kafe sempat mencoba menghalangi lubang, namun perempuan tersebut menerobosnya.  Lubang tersebut kini telah dipasangi penghalang oleh petugas dewan kota.
"
89,"Keluarga korban penembakan di LP Cebongan, Sleman, Yogyakarta hari ini meminta agar tersangka pelaku yang merupakan anggota Kopassus disidangkan di pengadilan umum.",Twitter mengakuisisi Vine pada 2012 dan akan menghentikan aplikasi Vine dalam beberapa bulan ke depan. Pengguna masih dapat mengakses dan mengunduh Vine mereka. Pengumuman ini mengejutkan banyak pengguna Twitter. Vine tidak mengikuti perkembangan inovasi dari Snapchat dan Facebook.,"Keluarga korban penyerangan LP Cebongan menuntut keadilan dan transparansi dalam pengusutan kasus tersebut.  Mereka menginginkan persidangan para tersangka di pengadilan umum, bukan militer.  Namun, TNI AD telah menetapkan bahwa 11 anggota Kopassus yang terlibat akan diadili di pengadilan militer.  Komnas HAM juga sedang menyelidiki kasus ini, dan menurut pakar hukum,  pengadilan sipil hanya mungkin jika Komnas HAM menemukan adanya pelanggaran HAM berat.  TNI AD menyatakan penyerangan tersebut didasari motif balas dendam dan tidak terencana.
"
97,Sekelompok pria bermotor berinisiatif melakukan kegiatan amal dengan menjadi pengantar air susu ibu ke rumah sakit untuk bayi prematur.,"Adnan Ebrahim, seorang pengusaha teknologi, merasa malu tentang bisnis onlinenya. Dia mendirikan situs Car Throttle dan mulai menjual gelang-gelang plastik sejak kecil. Adnan berhasil membangun bisnisnya dan menjualnya pada tahun 2019. Sekarang, dia adalah CEO perusahaan kesehatan mental dan masuk dalam daftar Forbes' 30 Under 30.","Midland Freewheelers, layanan antar sukarelawan bermotor, kini mengantarkan ASI untuk bayi di Birmingham Women's Hospital.  ASI ini ditujukan bagi bayi sakit dan prematur yang ibunya tidak dapat memproduksi ASI sendiri.  Layanan ini merupakan tambahan dari tugas awal mereka mengantar darah dan keperluan medis. ASI donor sangat penting untuk meningkatkan sistem kekebalan dan melawan infeksi pada bayi-bayi tersebut. Kolaborasi ini memastikan pengiriman ASI yang cepat dan efisien setiap saat.
"
