gemini_prediction,orig_gemini_prediction,gpt_prediction,orig_gpt_prediction,label,q_idx,config,strategy,criteria
"アテネ近郊の海辺の町、マティで発生した大規模な森林火災により、多数の死者が出ている。火災は急速に広がり、多くの住民が家や車の中で逃げ遅れ、犠牲となった。負傷者も多数出ており、病院で治療を受けている。ギリシャ政府は国際的な支援を要請し、消防隊が消火活動に当たっているが、強風と高温の中、鎮火の目処は立っていない。首相は緊急事態宣言を発令し、全力を尽くすと表明した。
",,アテネの北東40キロにあるマティで発生した森林火災により、少なくとも26人の遺体が見つかった。死者数は少なくとも49人で、多くが子供とみられる。消防隊は行方不明者の捜索にあたっており、観光客10人を探している。火災が起きているアテネ近郊では多くの住民が避難しており、消火活動に数百人の消防士が参加している。ギリシャ政府は国際的な支援を要請している。,,ギリシャで23日、大規模な森林火災が発生し、少なくとも49人が死亡した。過去10年以上で最も深刻な火災被害を受け、ギリシャ当局は国際支援を要請した。,322,"{'should_shuffle': True, 'should_remove_sentence': True, 'should_remove_random_words': {'enabled': True, 'number': 13}, 'should_replace_words_with_lemma_form': {'enabled': False, 'number': 33}, 'should_replace_conjunctions': {'enabled': False, 'number': 5}, 'should_replace_ner': {'enabled': False, 'number': 0}, 'should_random_sentence_from_another_paper': {'enabled': True, 'number': 1}}",0,
の 反 政府 デ モ 5000 中 男 児 が ス ロ ー ガ ン を 警察署 な ど に ス プ レ ー で 書 き 逮捕 を け ま し た 男 児 は 犯行 を 認 め 月 に 量刑 が 言 い 渡 さ れ ま す こ れ は 一連 の で 逮捕 さ れ 12 歳 で 年少 の 有罪 判決 す 弁 護人 は 男 児 は ま だ 幼 い の で チ ャ ン ス え て ほ し い と 訴 え ま し こ の デ モ は 逃亡 犯 条例 改正 案 に 端 を 発 し 6 月 か ら い て い ま す アンドリュー・リトル法相は採決の後、「これからは人工中絶が健康問題として適切に扱われる」との声明を発表した。,"香港の反政府デモで、12歳の男児がスローガンを警察署などにスプレーで書き、逮捕、有罪判決を受けました。これは、一連のデモで逮捕された5000人以上の中で最年少の有罪判決です。男児は犯行を認め、来月に量刑が言い渡されます。弁護人は、男児はまだ幼いのでチャンスを与えてほしいと訴えました。このデモは、逃亡犯条例改正案に端を発し、6月から続いています。
",今年6月から続く香港の反政府デモで、5000人以上が逮捕されている。その中には12歳の男児も含まれており、彼はデモの後に学校へ向かっていた際に逮捕された。男児はスプレーでスローガンを書いたことを認め、来月に量刑が言い渡される予定だ。男児の弁護人は彼にチャンスを与えるよう求めている。これまでに5000人以上が逮捕されているが、12歳から15歳までの子供に有罪判決が言い渡されたのは初めてのことだ。デモは中国本土引き渡しを可能にする法案に反対するもので、香港の自治性が損なわれることへの不安が若者を中心に広がっている。,今年6月から続く香港の反政府デモで、5000人以上が逮捕されている。その中には12歳の男児も含まれており、彼はデモの後に学校へ向かっていた際に逮捕された。男児はスプレーでスローガンを書いたことを認め、来月に量刑が言い渡される予定だ。男児の弁護人は彼にチャンスを与えるよう求めている。これまでに5000人以上が逮捕されているが、12歳から15歳までの子供に有罪判決が言い渡されたのは初めてのことだ。デモは中国本土引き渡しを可能にする法案に反対するもので、香港の自治性が損なわれることへの不安が若者を中心に広がっている。,香港で5カ月以上続く反政府デモで、12歳の男児が器物損壊の罪で有罪判決を受けたと、地元メディアが報じた。一連のデモで有罪とされた中で最年少とみられる。,545,"{'should_shuffle': True, 'should_remove_sentence': True, 'should_remove_random_words': {'enabled': True, 'number': 14}, 'should_replace_words_with_lemma_form': {'enabled': False, 'number': 38}, 'should_replace_conjunctions': {'enabled': False, 'number': 4}, 'should_replace_ner': {'enabled': True, 'number': 5}, 'should_random_sentence_from_another_paper': {'enabled': True, 'number': 1}}",2,"['Relevance', 'Consistency', 'Coherence', 'Fluency']"
イタリアはアウトブレイク（大流行）を防ぐため、ロンバルディア州やヴェネト州の一部の街を2週間封鎖するなど、厳しい措置をとっている。 ポ ー ル ・ ラ イ ア ン と ド ナ ル ド ・ ト ラ ン ラ リ ー ・ ク リ は 過去 に 衝突 し て き た が ラ イ ア ン 議長 は ト ラ ン ラ リ ー ・ ク リ 氏 を 支持 す る 意向 を 示 し た 一方 ヒ プ ン ト ン は ト ラ ン ラ リ ー ・ ク リ 氏 の 外交政策 を 非難 し を 大統領 に 選 ぶ こ と は 歴 史 な 誤 り と 述 べ た ラ イ ア ン 議長 と ト ラ ン ラ リ ー ・ ク リ 氏 は 合意 点 を 見 つ け る た め に 会談 を 重 ね て き た が 共和党 の 重鎮 で あ る ジ ョ ー ジ ・ H ・ W ・ ブ ッ シ ュ 元大 統領 や ジ ョ ー ジ ・ W ・ ブ ッ シ ュ 前大 統領 は ト ラ ン ラ リ ー ・ ク リ 氏 を 支持 し て い な い ト ラ ン ラ リ ー ・ ク リ 氏 は ク リ ン ト ン 氏 を 批判 し 彼女 の 公職 で の 失敗 を 指摘 し た 専門家らがイギリス国民を守るために最善だと感じる施策を取るつもりだ」と答えた。,ポール・ライアンとドナルド・トランプは過去に衝突してきたが、ライアン議長はトランプ氏を支持する意向を示した。一方、ヒラリー・クリントンはトランプ氏の外交政策を非難し、彼を大統領に選ぶことは「歴史的な誤り」と述べた。ライアン議長とトランプ氏は合意点を見つけるために会談を重ねてきたが、共和党の重鎮であるジョージ・H・W・ブッシュ元大統領やジョージ・W・ブッシュ前大統領はトランプ氏を支持していない。トランプ氏はクリントン氏を批判し、彼女の公職での失敗を指摘した。,ポール・ライアンとドナルド・トランプは過去に衝突してきたが、ライアン議長はトランプ氏を支持する意向を示した。一方、ヒラリー・クリントンはトランプ氏の外交政策を非難し、彼を大統領に選ぶことは「歴史的な誤り」と述べた。ライアン議長とトランプ氏は合意点を見つけるために会談を重ねてきたが、共和党の重鎮であるジョージ・H・W・ブッシュ元大統領やジョージ・W・ブッシュ前大統領はトランプ氏を支持していない。トランプ氏はクリントン氏を批判し、彼女の公職での失敗を指摘した。,ポール・ライアンとドナルド・トランプは過去に衝突してきたが、ライアン議長はトランプ氏を支持する意向を示した。一方、ヒラリー・クリントンはトランプ氏の外交政策を非難し、彼を大統領に選ぶことは「歴史的な誤り」と述べた。ライアン議長とトランプ氏は合意点を見つけるために会談を重ねてきたが、共和党の重鎮であるジョージ・H・W・ブッシュ元大統領やジョージ・W・ブッシュ前大統領はトランプ氏を支持していない。トランプ氏はクリントン氏を批判し、彼女の公職での失敗を指摘した。,米下院のポール・ライアン議長は2日、今秋の大統領選で共和党候補に指名される見通しの実業家ドナルド・トランプ氏に投票すると表明した。共和党で最も高位の公職にあるライアン氏は先月、トランプ氏を支持することはまだできないと述べていただけに、今回の動きは党がトランプ氏支持でまとまりつつあるのを示している。,516,"{'should_shuffle': False, 'should_remove_sentence': True, 'should_remove_random_words': {'enabled': False, 'number': 0}, 'should_replace_words_with_lemma_form': {'enabled': False, 'number': 0}, 'should_replace_conjunctions': {'enabled': False, 'number': 0}, 'should_replace_ner': {'enabled': True, 'number': 5}, 'should_random_sentence_from_another_paper': {'enabled': True, 'number': 2}}",2,"['Consistency', 'Relevance']"
マイケル・フェルプス選手は、200メートルバタフライで優勝し、雪辱を果たしました。彼は1分53秒36で優勝し、日本の坂井聖人が2位になりました。また、800メートルリレーでも米国が優勝しました。フェルプスは今回の大会での主な目的であるタイトル奪還を果たしました。彼は引退を考えていましたが、2014年に現役復帰しました。エイドリアン・ムーアハウス氏はフェルプスのパフォーマンスを絶賛し、「歴代最高」と称えました。,,マイケル・フェルプス選手は、200メートルバタフライで優勝し、雪辱を果たしました。彼は1分53秒36で優勝し、日本の坂井聖人が2位になりました。また、800メートルリレーでも米国が優勝しました。フェルプスは今回の大会での主な目的であるタイトル奪還を果たしました。彼は引退を考えていましたが、2014年に現役復帰しました。エイドリアン・ムーアハウス氏はフェルプスのパフォーマンスを絶賛し、「歴代最高」と称えました。,,五輪金メダル最多記録をもつ米競泳男子のマイケル・フェルプス選手（31）が9日、21個目の五輪金メダルを獲得し、自己記録を更新した。フェルプスはこの日、男子200メートルバタフライと800メートルリレー決勝で優勝し、20個目と21個目の金メダルを相次いで手にした。,595,"{'should_shuffle': False, 'should_remove_sentence': False, 'should_remove_random_words': {'enabled': True, 'number': 12}, 'should_replace_words_with_lemma_form': {'enabled': False, 'number': 35}, 'should_replace_conjunctions': {'enabled': False, 'number': 6}, 'should_replace_ner': {'enabled': False, 'number': 0}, 'should_random_sentence_from_another_paper': {'enabled': False, 'number': 0}}",0,
"トランプ大統領がイギリスを国賓訪問し、到着直前にロンドン市長を批判するツイートをしました。エリザベス女王主催の晩餐会に出席し、メイ首相と首脳会談を行い、気候変動やファーウェイ問題などを協議しました。ハント外相の出迎えを受け、ウィンフィールド・ハウスに滞在し、エリザベス女王と面会しました。メイ首相とは気候変動問題やファーウェイ問題で意見の相違が予想されます。また、ノルマンディー上陸作戦75周年記念式典に出席後、アイルランドへ向かいます。
","トランプ大統領がイギリスを国賓訪問し、到着直前にロンドン市長を批判するツイートをしました。エリザベス女王主催の晩餐会に出席し、メイ首相と首脳会談を行い、気候変動やファーウェイ問題などを協議しました。ハント外相の出迎えを受け、ウィンフィールド・ハウスに滞在し、エリザベス女王と面会しました。メイ首相とは気候変動問題やファーウェイ問題で意見の相違が予想されます。また、ノルマンディー上陸作戦75周年記念式典に出席後、アイルランドへ向かいます。
",トランプ氏がイギリスへの国賓訪問の直前に、ロンドン市長のカーン氏を「完全な負け犬」とツイートしました。カーン氏は以前からトランプ氏と対立しており、トランプ氏の訪英について「丁重に迎えるべきではない」と発言していました。トランプ氏はエリザベス女王主催の晩さん会に出席し、メイ首相との首脳会談に臨みました。訪英中は駐英米国大使の公邸に滞在し、女王との面会も予定されています。メイ首相との会談では、気候変動やファーウェイの問題で意見の食い違いが予想されています。トランプ氏は5日にはアイルランドへ向かう予定です。,トランプ氏がイギリスへの国賓訪問の直前に、ロンドン市長のカーン氏を「完全な負け犬」とツイートしました。カーン氏は以前からトランプ氏と対立しており、トランプ氏の訪英について「丁重に迎えるべきではない」と発言していました。トランプ氏はエリザベス女王主催の晩さん会に出席し、メイ首相との首脳会談に臨みました。訪英中は駐英米国大使の公邸に滞在し、女王との面会も予定されています。メイ首相との会談では、気候変動やファーウェイの問題で意見の食い違いが予想されています。トランプ氏は5日にはアイルランドへ向かう予定です。,国賓として初めてイギリスを訪問するアメリカのドナルド・トランプ大統領が3日午前9時ごろ、大統領専用機でロンドンのスタンステッド空港に到着した。5日まで同国に滞在する。,669,"{'should_shuffle': True, 'should_remove_sentence': False, 'should_remove_random_words': {'enabled': False, 'number': 0}, 'should_replace_words_with_lemma_form': {'enabled': False, 'number': 0}, 'should_replace_conjunctions': {'enabled': False, 'number': 0}, 'should_replace_ner': {'enabled': False, 'number': 0}, 'should_random_sentence_from_another_paper': {'enabled': False, 'number': 0}}",2,['Fluency']
"イギリスの広告基準局（ASA）は、広告における有害な性役割ステレオタイプ表現を禁止する新規制を施行しました。これは、広告が性別に基づく不平等を助長し、人々の可能性を狭める可能性があるという調査結果に基づいています。禁止対象となるのは、男性が家事育児に無関心・不器用な様子や、女性が家事全般を担当する様子などです。ただし、すべての性役割ステレオタイプが禁止されるわけではなく、例えば、女性が買い物をする、男性が日曜大工をするといった描写は問題ありません。ASAは今後、個々の広告を審査し、文脈に基づいて判断するとしています。
",,2016年は、世界各地で記録的な高気温が観測された。これは3年連続の記録更新であり、エルニーニョ現象や二酸化炭素排出が主な要因とされている。北極でも異例な気温上昇があり、海氷面積も過去最低を記録した。これにより、世界中に大きな影響が及んでいる。科学者や政治家たちは、気候変動の抑制に向けた取り組みが重要であり、2017年も高温が続く可能性があると予想されている。,,イギリスの広告基準協議会（ASA）はこのほど、「深刻もしくは広範な被害」につながる可能性のある「性別にもとづく有害なステレオタイプ（世間的固定概念）」を使った広告を禁止した。一部のステレオタイプに基づく表現が、「人の可能性を狭める」一端を担いかねないとしている。,168,"{'should_shuffle': True, 'should_remove_sentence': True, 'should_remove_random_words': {'enabled': True, 'number': 14}, 'should_replace_words_with_lemma_form': {'enabled': False, 'number': 30}, 'should_replace_conjunctions': {'enabled': False, 'number': 5}, 'should_replace_ner': {'enabled': True, 'number': 9}, 'should_random_sentence_from_another_paper': {'enabled': True, 'number': 2}}",0,
"ロシア政府は、インターネットへの国家統制強化のため、国内インターネットを世界から遮断する実験を計画している。この実験は、データの国内保持、外国勢力からの干渉対策、独自のDNS構築を目的としている。政府管理のルーティングポイントへのデータ転送をISPに義務づけ、最終的には国内の情報送受信を政府経由で行うことを目指す。これは中国のような大規模検閲システム構築に繋がる可能性があり、ISPからは混乱への懸念が出ているものの、政府はインフラ修正費用を提供して実験を進めようとしている。
",,ロシア政府は、インターネットを統制するための独立計画を実施している。この計画では、ロシア国内でのデータのやり取りが海外のネットワークを経由せずに国内に留まるようになる。昨年、独立したインターネット運用に必要な技術の変更を命じる法案が提出された。実験は4月1日までに実施される予定で、具体的な日時はまだ設定されていない。この実験によって、ロシア政府は国内のインターネットサービスプロバイダにサービス継続を義務付けることで、外国勢力によるオンラインからの排除に対抗することを目指している。,,ロシア政府はサイバー攻撃対策の一環として、一時的に国内を海外のインターネットから遮断する実験を行なうことを検討している。,644,"{'should_shuffle': True, 'should_remove_sentence': True, 'should_remove_random_words': {'enabled': False, 'number': 0}, 'should_replace_words_with_lemma_form': {'enabled': False, 'number': 0}, 'should_replace_conjunctions': {'enabled': False, 'number': 0}, 'should_replace_ner': {'enabled': True, 'number': 5}, 'should_random_sentence_from_another_paper': {'enabled': True, 'number': 3}}",0,
ロシア出身のテニス選手、シャラポワがメルドニウムという禁止薬物使用によりドーピング違反に。10年間使用しており、処方された薬だと知らずに摂取していたと説明。処分は最大4年だが、事情により軽減される見通し。,ロシア出身のテニス選手、シャラポワがメルドニウムという禁止薬物使用によりドーピング違反に。10年間使用しており、処方された薬だと知らずに摂取していたと説明。処分は最大4年だが、事情により軽減される見通し。,BBCは、「明けましておめでとうございます」とだけ投稿した匿名アカウントを作成。 例えば、「ネオナチ」をキーワードにした場合、イギリスでは6万7000人～8万1000人が、広告の対象になり得るとの結果が表示された。 ロ シ ア 出身 の テ ス 選手 シ ャ ラ ポ 選手 が 禁止 薬物 の 反 応 が 出 こ と を 認 め た 彼女 は 10 年 前 か 健康 の 理由 で メ ル ニ ウ ム を 使用 し て い た そ の 薬 が 禁止 薬物 に 指定 さ れ た こ と を 知 ら な っ た と 主張 し て い る 彼女 の 弁 護士 は 処 分 が 減免 さ れ る 可能性 が あ る と 述 べ て い る 彼女 は 処 分 を 受 け る こ と を 覚 悟 ら も ニ ス を 続 け た い と 希望 て い る,ロシア出身のテニス選手、シャラポワ選手が禁止薬物の陽性反応が出たことを認めた。彼女は10年以上前から健康上の理由でメルドニウムを使用していたが、その薬が禁止薬物に指定されたことを知らなかったと主張している。彼女は処分を受けることを覚悟しながらも、テニスを続けたいと希望している。彼女の弁護士は処分が減免される可能性があると述べている。,テニスの女子シングルス元世界ランキング1位のマリア・シャラポワ選手（28）が7日、今年1月の全豪オープンのドーピング検査で陽性になったと明らかにした。米ロサンゼルスで記者会見し発表した。4大大会に5回優勝した経験のあるシャラポワ選手は、3月12日から正式処分が決まるまで暫定的に出場停止となった。,251,"{'should_shuffle': True, 'should_remove_sentence': True, 'should_remove_random_words': {'enabled': True, 'number': 13}, 'should_replace_words_with_lemma_form': {'enabled': False, 'number': 33}, 'should_replace_conjunctions': {'enabled': False, 'number': 4}, 'should_replace_ner': {'enabled': True, 'number': 8}, 'should_random_sentence_from_another_paper': {'enabled': True, 'number': 2}}",1,"['Consistency', 'Fluency', 'Relevance', 'Coherence']"
"新型コロナウイルスの世界累計感染者数は1000万人を突破し、アメリカとヨーロッパで世界の感染者の半数を占めています。南北アメリカでの感染拡大が深刻化しており、南アジアとアフリカでも感染拡大が続いています。アメリカでは感染者数が250万人、死者が12万5000人に達し、南部を中心に感染が再拡大しています。ブラジルでは130万人以上の感染が確認され、中国やイギリスでも新たな感染拡大の波が懸念されています。
",,南アメリカでは新型コロナウイルスの感染が急速に広がっており、世界の感染者の半数をアメリカとヨーロッパが占めています。南北アメリカだけでなく、南アジアやアフリカでも感染が広がっており、感染のピークは7月末以降になると予想されています。世界各地で大規模な流行が続いており、アメリカでは感染者が約250万人、死者が約12万5000人報告されています。一方、ブラジルでは感染者が130万人、死者が5万7000人を超えています。中国やイギリスでも感染が深刻化しており、各地で厳しいロックダウンが実施されています。,,米 ジョンズ・ホプキンス大学の集計 （日本時間29日午前時点）によると、新型コロナウイルスのパンデミック（世界的流行）による累計死者は世界で50万人を超えた。,639,"{'should_shuffle': True, 'should_remove_sentence': True, 'should_remove_random_words': {'enabled': True, 'number': 12}, 'should_replace_words_with_lemma_form': {'enabled': False, 'number': 43}, 'should_replace_conjunctions': {'enabled': False, 'number': 4}, 'should_replace_ner': {'enabled': True, 'number': 5}, 'should_random_sentence_from_another_paper': {'enabled': True, 'number': 2}}",0,
シ ン シ ナ ィ で 3 歳 の 男 児 が ゴ リ ラ の 避 け ア に 転 落 し 絶 滅 危惧 種 の ゴ リ ラ ハ ン ビ が 射殺 さ 動物 園側 は 男 児 の 安全 確保 の た め 射殺 は 飼育 エ リ ら れ な か っ た と 主張 る 一方 動物 保護 団 体 は 避 け ア の 安全 対 策 の 不備 を 指摘 し て い る 児 の 両 親 は 注意 を 責 め 声 に ら さ れ て い る が 母親 は 事故 で あ っ た と 釈 明 し て い る 警察 は 両 親 行動 に つ い て 捜 査 す る 方針 だ が 動物園 の 運 営 に い て は 捜 査 対 象 外 と し て い る ソ ー シ ャ ル メ デ ア で は ハ ラ ン ビ の 死 を 悼 む 声 や 両 親 へ の 非難 動物園 へ の 批判 な ど 様 々 な 意見 が 飛 び 交 っ て い る,"シンシナティ動物園で、3歳の男児がゴリラの飼育エリアに転落し、絶滅危惧種のゴリラ「ハランビ」が射殺された。動物園側は男児の安全確保のため射殺は避けられなかったと主張する一方、動物保護団体は飼育エリアの安全対策の不備を指摘している。男児の両親は不注意を責める声にさらされているが、母親は事故であったと釈明している。警察は両親の行動について捜査する方針だが、動物園の運営については捜査対象外としている。ソーシャルメディアでは、ハランビの死を悼む声や、両親への非難、動物園への批判など様々な意見が飛び交っている。
",シンシナティ動物園でのゴリラ射殺事件について、多くの人が動物園と子どもの親を非難している。動物園側はゴリラを射殺するしかなかったと主張しているが、動物保護活動家らは対策不足だと非難している。権利擁護団体は農務省に告訴状を提出し、動物園に罰金を科すべきだと主張している。男児の両親はソーシャルメディアで非難されており、一部では解雇されるべきだという意見もある。男児は軽傷で済んだが、警察は両親の行動についてのみ捜査すると述べている。,シンシナティ動物園でのゴリラ射殺事件について、多くの人が動物園と子どもの親を非難している。動物園側はゴリラを射殺するしかなかったと主張しているが、動物保護活動家らは対策不足だと非難している。権利擁護団体は農務省に告訴状を提出し、動物園に罰金を科すべきだと主張している。男児の両親はソーシャルメディアで非難されており、一部では解雇されるべきだという意見もある。男児は軽傷で済んだが、警察は両親の行動についてのみ捜査すると述べている。,米オハイオ州シンシナティの動物園で28日に3歳の男児がゴリラ舎の堀に転落し、中のゴリラが射殺されたことをめぐり、地元警察は31日、当時の状況について捜査すると表明した。,674,"{'should_shuffle': False, 'should_remove_sentence': False, 'should_remove_random_words': {'enabled': True, 'number': 12}, 'should_replace_words_with_lemma_form': {'enabled': False, 'number': 38}, 'should_replace_conjunctions': {'enabled': False, 'number': 5}, 'should_replace_ner': {'enabled': True, 'number': 8}, 'should_random_sentence_from_another_paper': {'enabled': False, 'number': 0}}",2,"['Coherence', 'Consistency']"
