q_idx,label,gpt_prediction,gemini_prediction
5,Hamas'ın kontrolündeki Gazze Şeridi'nden fırlatılan bir roketin Tel Aviv'de bir eve isabet etmesinin ardından İsrail Gazze'ye hava operasyonları düzenledi.,"İsrail ordusu, dün gece Gazze'den atılan 30 rokete karşılık olarak Hamas hedeflerini vurdu. Tel Aviv'e yapılan roket saldırısını üstlenen olmadı. İsrail Başbakanı Netanyahu, saldırıya sert bir yanıt vereceklerini belirtti. Hamas ise saldırıyı reddetti ve ateşkesin sağlandığını duyurdu. İsrail, benzer bir saldırı durumunda Gazze'deki Hamas hedeflerini vuracağını açıklamıştı.","Gazze'den İsrail'e 30 roket atıldıktan sonra İsrail ordusu, Gazze'deki Hamas hedeflerini vurdu.  Pazartesi günü Tel Aviv'e isabet eden ve 7 kişinin yaralanmasına sebep olan roket saldırısının sorumluluğunu kimse üstlenmedi. İsrail, Hamas'ı suçlarken Hamas suçlamaları reddetti ve olayın direniş gruplarının çıkarına olmadığını belirtti.  Hamas, Filistinli gruplar ile İsrail arasında ateşkes sağlandığını duyursa da İsrail'den resmi bir açıklama gelmedi.  İsrail Başbakanı Netanyahu, ülkesinin saldırılara sert karşılık vereceğini söyledi.
"
21,"Türkiye, Rus yapımı S-400 hava savunma sisteminin teslimatının başladığını resmi bir açıklamayla ilan etti. Açıklama, Türkiye-ABD ilişkilerinin yeni bir sürece girdiğine işaret ediyor. Washington'ın nasıl bir yaptırım paketini devreye sokacağı merak ediliyor.","Rusya'dan getirilen S-400 hava savunma sistemi Türkiye'ye teslim edildi. Teslimatın tamamlanmasının ardından sistemin kullanıma başlanacağı belirtildi. ABD Savunma Bakan Vekili Mark Esper, Türkiye'nin S-400 alımı hakkında endişelerini ileteceği bir telefon görüşmesi yapacak. Türkiye'nin S-400 teslimatı, ABD ile ilişkileri ve F-35 projesini etkileyebilir. ABD'nin uygulayacağı yaptırımların boyutu ve etkisi önemli olacak.","Türkiye, Rusya'dan S-400 hava savunma sisteminin ilk parçalarını teslim aldı.  Bu teslimat, ABD'nin CAATSA yaptırımlarını tetikleyebilir ve Türkiye'nin F-35 programından çıkarılmasına yol açabilir.  Türkiye, S-400'lerin CAATSA yasasından önce imzalanan bir anlaşma kapsamında alındığını savunuyor.  ABD'nin Türkiye'ye nasıl bir yaptırım uygulayacağı henüz belirsiz.  Yumuşak veya sert bir yaptırım paketi, ABD-Türkiye ilişkilerinin geleceğini önemli ölçüde etkileyecektir.
"
29,"İzmirlilerin söylediğine göre kent, yazdan sonra ilk sıcak günlerini yaşamaya başladı. Şehre bahar gelmiş. Öğrenciler, çocuklu anneler, öğle arasını deniz kenarında geçiren çalışanlar Kordon'da oturuyor, yürüyor, yemek yiyor.","İzmir'de yapılan bir araştırmada, sokaktaki vatandaşların Kürt sorununa barışçıl çözüm arayışını nasıl değerlendirdikleri ve sürece güvenip güvenmedikleri sorulmuştur. Araştırmaya katılanların çoğunluğu terörle mücadelede sert önlemler alınmasını ve teröristlerin cezalandırılmasını desteklemektedir.","İzmirliler Kürt sorununa barışçıl çözüm arayışını farklı açılardan değerlendiriyor. Bazıları sürece şüpheyle yaklaşırken, Öcalan'ın idam edilmesini dahi savunanlar var.  Sosyalistler ise temkinli de olsa umutlu. Gençler, milliyetçilik ve dini hassasiyetlerin tehlikeli olduğunu düşünüyor ve barışın gerekliliğine inanıyor.  Kimi İzmirliler ise sürecin arkasında başka hesaplar olduğunu düşünüyor ve AKP'ye güvenmiyor.  Öğretmen olan bir İzmirli ise Kürt okul müdürlerinin bölgede hizmet etmesi gerektiğini savunuyor.
"
31,ABD Başkanı Donald Trump'ın Kudüs'ü İsrail'in başkenti olarak tanıma ve Amerikan Büyükelçiliğini Tel Aviv'den bu kente taşıma kararı sonrası bölgede gerginlik arttı.,"İsrail'in Gazze'ye düzenlediği hava saldırılarında en az 25 kişi yaralandı ve 2 kişi hayatını kaybetti. İsrail, saldırıları Hamas'a ait silah fabrikalarını hedef almak için gerçekleştirdiğini açıkladı. Filistinlilerin protesto gösterileri ise devam ediyor ve şu ana kadar en az 217 kişi hayatını kaybetti. ABD'nin Kudüs'ü İsrail'in başkenti olarak tanıması ise İstanbul'da protesto edildi.","İsrail, Gazze'ye düzenlediği hava saldırılarında Hamas'a ait hedefleri vurduğunu açıkladı. Saldırılarda iki Filistinli hayatını kaybetti, toplam ölü sayısı dörde yükselirken en az 25 kişi de yaralandı.  Gazze'den İsrail'e atılan bir roket Sderot kasabasına düştü, ancak can kaybı yaşanmadı.  Bu saldırılar, Filistinlilerin ABD'nin Kudüs kararını protesto ettiği ve iki kişinin öldüğü, çok sayıda kişinin yaralandığı gösterilerin ardından geldi. Hamas yetkilisi, büyükelçiliğini Kudüs'e taşıyan ülkeleri ""düşman"" olarak nitelendirdi.
"
37,Avustralya'da iş yerlerinde sigara içilmesinin ekonomiye maliyetinin 288 milyar ABD dolarına çıkabileceği açıklandı. Bu verilerin yayımlanmasından sonra iş yerlerinde sigaranın tamamen yasaklanması çağrıları yapıldı.,"Monash Üniversitesi uzmanlarının yaptığı araştırma, sigara içenlerin daha fazla hastalık izni aldığını ve iş yerlerinde daha az verimli olduklarını ortaya koydu. Sigara tüketiminin azaltılmasıyla hem çalışanların hem de ekonominin sağlığının korunabileceği vurgulandı.","Monash Üniversitesi'nin araştırmasına göre, sigara içenler içmeyenlere kıyasla daha fazla hastalık izni kullanıyor ve iş verimleri düşük.  Sigara içenlerin verimsiz geçirdiği gün sayısı içmeyenlerden neredeyse iki kat fazla.  Sigara molaları ve sigaraya bağlı hastalıklar verim kaybına neden oluyor ve ekonomik maliyetleri artırıyor.  Avustralya'da sigara tüketimi nedeniyle toplam yaşam süresinde önemli bir azalma öngörülüyor.  Araştırmacılar, hükümetin sigara ile mücadeleye daha fazla yatırım yapması gerektiğini vurguluyor.
"
41,"Yaklaşık 60 yıllık tarihinde, bölgedeki kritik gelişmeler sırasında çok kez Türkiye gündeminin üst sıralarına oturan İncirlik Hava Üssü, ABD öncülüğündeki koalisyonun IŞİD’e yönelik mücadelesinde kullanılmak üzere Amerikan savaş uçaklarına açıldı.","ABD ve Türkiye arasında varılan anlaşma sonucunda, Pentagon'un İncirlik Üssü'nden kalkan Amerikan insansız hava araçları IŞİD hedeflerini vurdu. Bu anlaşma, Türkiye-ABD ilişkilerinde olumlu bir adım olarak değerlendirilebilir.","ABD ve Türkiye, İncirlik Üssü'nün IŞİD'e karşı hava operasyonları için kullanılması konusunda anlaşmaya vardı.  Anlaşma sonrası Amerikan insansız hava araçları İncirlik'ten havalanarak IŞİD hedeflerini vurdu.  Uzmanlar, İncirlik'in açılmasının iki ülke ilişkilerine etkisini farklı açılardan değerlendiriyor.  Bazıları önemli bir dönüm noktası olduğunu düşünürken, bazıları ise ilişkilerdeki soğukluğun devam edebileceği görüşünde.  Türkiye'nin istediği güvenli bölgenin nasıl korunacağı konusunda ise belirsizlikler sürüyor.
"
43,Irak'ın kuzeyinde yer alan petrol kenti Kerkük'te gerçekleşen bombalı saldırıda en az 16 kişi hayatını kaybetti.,"Kerkük'te bir kafenin yakınında bomba yüklü bir aracın patlaması sonucu ölü sayısı hakkında çelişkili açıklamalar yapıldı. Saldırının intihar bombacısı tarafından gerçekleştirildiği belirtilirken, son zamanlarda Kerkük'ün saldırılara hedef olduğu görülüyor. Bağdat'ta ise Şii mahallelerinde gerçekleşen üç bombalı saldırıda en az 15 kişi hayatını kaybetti.","Kerkük'te bir kafe yakınında bomba yüklü araç patlaması sonucu çok sayıda kişi hayatını kaybetti.  Ölü sayısı konusunda farklı bilgiler var, emniyet yetkilileri 16, bazı kaynaklar ise 21 ölü olduğunu bildiriyor.  Saldırının bir intihar bombacısı tarafından gerçekleştirildiği belirtiliyor.  Daha önce güvenli bir bölge olarak bilinen Kerkük, son zamanlarda saldırıların hedefi oluyor. Ağustos ayında gerçekleşen bombalı saldırılarda ise 38 kişi ölmüştü.
"
56,"Manchester United, geçen sezon dünyanın en çok gelir elde eden futbol kulübü oldu. Listede yer alan iki Türk kulübü ise 25. sıradaki Fenerbahçe ve 26. sıradaki Galatasaray .","Deloitte'un raporuna göre, Manchester United 2015-2016 sezonunda 689 milyon euroluk gelir elde ederek Real Madrid'i geride bıraktı ve bu unvanı 11 yıldır elinde tutan Real Madrid'i geçti. Fenerbahçe ve Galatasaray da geçen sezon elde ettikleri gelirle listede yer aldı.","Manchester United, 689 milyon euro gelirle Real Madrid'i geçerek 11 yıl sonra Deloitte Futbol Para Ligi'nde zirveye oturdu.  Fenerbahçe ve Galatasaray da sırasıyla 157,7 ve 155,9 milyon euro gelirle listeye girdi.  İlk 20'deki kulüplerin toplam geliri 7,4 milyar euro ile rekor kırdı. Listede sekiz Premier Lig takımı yer alırken, bunların toplam geliri 3,2 milyar euro oldu.  Leicester City de ilk 20'ye girmeyi başardı.
"
57,Mısır'da yargıçlar Cumhurbaşkanı Muhammed Mursi'nin kendisine geniş yetkiler tanıyan ve yargı denetimini kısıtlayan kararnamesini protesto için greve gidiyor.,"Mısır'da Cumhurbaşkanı Mursi'nin yayınladığı kararname, hakimler, temyiz mahkemeleri ve Yargıtay'ın çalışmalarını durduracağını duyurmasıyla geniş tepki yarattı. Kararnamenin yetkileri artırması ve yargıyı etkisiz hale getirmesi nedeniyle göstericiler Mursi'yi protesto ediyor.","Mısır'da hakimler, Mursi'nin yeni kararnamesini protesto ederek greve gitti.  Kararname, Mursi'ye geniş yetkiler veriyor ve kararlarının yargı denetimine tabi olmadığını belirtiyordu.  Bu durum, muhalefetin ve yargı organlarının tepkisini çekti.  Ülke genelinde protesto gösterileri düzenlenirken, Mursi kararnamesinin sınırlı olduğunu savunarak durumu yatıştırmaya çalıştı.  Yargıçlar ise kararnameyi tamamen geri çekmesini talep ediyor.
"
78,"Uluslararası kredi derecelendirme kuruluşu Standard and Poors, Amerika Birleşik Devletleri'nin uzun vadeli kredi notu görünümünü durağandan negatife çevirdi.","ABD'nin AAA kredi notu, ülkenin rekor seviyedeki bütçe açığı ve politik belirsizlik nedeniyle tehlikeye girebilir. Bu karar, Amerikan ve Avrupa borsalarında ani değer kayıplarına neden oldu.","S&P, ABD'nin AAA kredi notunu korudu ancak iki yıl içinde düşürülebileceği uyarısında bulundu. Bu karar, ABD'nin rekor seviyedeki bütçe açığı ve hükümetin bu açığı kapatma politikasındaki belirsizlik nedeniyle alındı.  Amerikan ve Avrupa borsaları bu karar sonrası değer kaybetti ve dolar diğer para birimleri karşısında düştü.  S&P'nin kararı, Demokratlar ve Cumhuriyetçiler arasında bütçe açığı konusunda süregelen anlaşmazlığa bağlanıyor.  ABD Hazine Bakanlığı ise S&P'nin değerlendirmesini eleştirdi.
"
93,"Avustralya'nın önde gelen karikatüristlerinden Bill Leak, bir polis ile iki Aborjine yer verdiği son karikatürü sonrası ""ırkçılıkla"" suçlandı.","Karikatürde, bir Aborjin baba, polisin getirdiği oğlunun adını hatırlamadığını söylüyor. The Australian gazetesi ise karikatürü savunuyor.","Karikatür, Aborjin bir babanın polis tarafından getirilen oğlunun adını hatırlamamasını konu alıyor.  The Australian gazetesi, Bill Leak tarafından çizilen bu karikatürü savunurken, Aborjin gruplar karikatürü ırkçı ve aşağılayıcı buldu.  Karikatür, Aborjin gençlerinin hapishanelerdeki yüksek temsil oranı tartışmaları sırasında yayınlandı. Gazete, karikatürün önemli bir konuyu ele aldığını iddia ediyor.  Aborjin lider Noel Pearson da benzer bir konuda, ebeveynlerin çocuklarının davranışlarından sorumlu olması gerektiğini dile getirmişti.
"
94,İzlanda'da başkent Reykjavik yakınlarında 900 yıldır uykuda olan yanardağ Cuma akşamı lav püskürtmeye başladı. Püskürtme öncesi 50 bine yakın depreme neden olan volkanik hareketlilik nedeniyle çevre yerleşimlerde önlem alınmıştı.,"Gece saatlerinde başlayan Krysuvik volkanik sistemindeki hareketlilik, lavın Geldingadalur vadisine doğru aktığını gösterdi. Bilim insanları, son volkanik aktivitenin azalmaya başladığını duyurdu.","İzlanda'daki Krysuvik volkanik sisteminde lav akışı başladı ve Geldingadalur vadisine doğru ilerliyor.  Reykjavik yakınlarındaki Blue Lagoon'dan da dumanlar görülebiliyor.  Bilim insanları volkanik aktivitenin azaldığını açıklarken, patlamanın küçük ölçekli olduğunu belirtti.  Bölgede ana bir yanardağ bulunmadığı ve lavın yer yüzeyindeki kırıklardan çıktığı ifade edildi.  Volkanik hareketlilik tehlikeli görülmese de, bölge sakinlerine gaz salınımına karşı önlem olarak pencerelerini kapalı tutmaları tavsiye edildi.
"
