gemini_prediction,orig_gemini_prediction,gpt_prediction,orig_gpt_prediction,label,q_idx,config,strategy,criteria
"Gazze'den İsrail'e 30 roket atıldıktan sonra İsrail ordusu, Gazze'deki Hamas hedeflerini vurdu.  Pazartesi günü Tel Aviv'e isabet eden ve 7 kişinin yaralanmasına sebep olan roket saldırısının sorumluluğunu kimse üstlenmedi. İsrail, Hamas'ı suçlarken Hamas suçlamaları reddetti ve olayın direniş gruplarının çıkarına olmadığını belirtti.  Hamas, Filistinli gruplar ile İsrail arasında ateşkes sağlandığını duyursa da İsrail'den resmi bir açıklama gelmedi.  İsrail Başbakanı Netanyahu, ülkesinin saldırılara sert karşılık vereceğini söyledi.
","Gazze'den İsrail'e 30 roket atıldıktan sonra İsrail ordusu, Gazze'deki Hamas hedeflerini vurdu.  Pazartesi günü Tel Aviv'e isabet eden ve 7 kişinin yaralanmasına sebep olan roket saldırısının sorumluluğunu kimse üstlenmedi. İsrail, Hamas'ı suçlarken Hamas suçlamaları reddetti ve olayın direniş gruplarının çıkarına olmadığını belirtti.  Hamas, Filistinli gruplar ile İsrail arasında ateşkes sağlandığını duyursa da İsrail'den resmi bir açıklama gelmedi.  İsrail Başbakanı Netanyahu, ülkesinin saldırılara sert karşılık vereceğini söyledi.
","İsrail ordu, dün ge Gazze'den atmak 30 rokete karşı olarak tel Aviv hedeflerini vurmak. Hamas' e yapmak roket saldırı üstlenen olmak. İsrail Başbakanı ##huanyahu, saldırı sert yanıt vereceklerini belirmek. İsrail, benzer saldırı durum Gazze tel Aviv Hedef vurmak açıklamak. tel Aviv ise saldırı reddetmek ve ateşkesin sağ duyurmak. Yedisi dışında tümü yaşamlarını doğada sürdüren bu hayvanlar yuvalarından 24 saat izleniyor. Bu yıl 76 kakaponun dünyaya geldiği ve 60'ının yetişkinliğe ulaşmasının beklendiği açıklandı. Programla, hayvanların sayısının, nesillerinin devamı için kritik eşik olarak görülen 500'e çıkarılması hedefleniyor.","İsrail ordusu, dün gece Gazze'den atılan 30 rokete karşılık olarak Hamas hedeflerini vurdu. Tel Aviv'e yapılan roket saldırısını üstlenen olmadı. İsrail Başbakanı Netanyahu, saldırıya sert bir yanıt vereceklerini belirtti. Hamas ise saldırıyı reddetti ve ateşkesin sağlandığını duyurdu. İsrail, benzer bir saldırı durumunda Gazze'deki Hamas hedeflerini vuracağını açıklamıştı.",Hamas'ın kontrolündeki Gazze Şeridi'nden fırlatılan bir roketin Tel Aviv'de bir eve isabet etmesinin ardından İsrail Gazze'ye hava operasyonları düzenledi.,5,"{'should_shuffle': True, 'should_remove_sentence': True, 'should_remove_random_words': {'enabled': True, 'number': 13}, 'should_replace_words_with_lemma_form': {'enabled': True, 'number': 37}, 'should_replace_conjunctions': {'enabled': False, 'number': 6}, 'should_replace_ner': {'enabled': True, 'number': 5}, 'should_random_sentence_from_another_paper': {'enabled': True, 'number': 3}}",1,"['Coherence', 'Consistency', 'Fluency', 'Relevance']"
"Türkiye, Rusya'dan S-400 ilk parça teslim al. bu teslimat, ABD CAATSA yaptırımlarını tetikleyebilir ve Türkiye'nin F-35 programından çıkarmak yol açmak. Türkiye, S-400lerin CAATSA Yasa ön imza an Kapsam alınmak savunuyor. yumuşak veya sert yaptırım paket, ABD-Türkiye ilişki gelecek önem ölçü etkileyecektir. ABD'nin Türkiye nasıl yaptırım uygulamak henüz belirsiz.","Türkiye, Rusya'dan S-400 hava savunma sisteminin ilk parçalarını teslim aldı.  Bu teslimat, ABD'nin CAATSA yaptırımlarını tetikleyebilir ve Türkiye'nin F-35 programından çıkarılmasına yol açabilir.  Türkiye, S-400'lerin CAATSA yasasından önce imzalanan bir anlaşma kapsamında alındığını savunuyor.  ABD'nin Türkiye'ye nasıl bir yaptırım uygulayacağı henüz belirsiz.  Yumuşak veya sert bir yaptırım paketi, ABD-Türkiye ilişkilerinin geleceğini önemli ölçüde etkileyecektir.
","Rusya'dan getirilen S-400 hava savunma sistemi Türkiye'ye teslim edildi. Teslimatın tamamlanmasının ardından sistemin kullanıma başlanacağı belirtildi. ABD Savunma Bakan Vekili Mark Esper, Türkiye'nin S-400 alımı hakkında endişelerini ileteceği bir telefon görüşmesi yapacak. Türkiye'nin S-400 teslimatı, ABD ile ilişkileri ve F-35 projesini etkileyebilir. ABD'nin uygulayacağı yaptırımların boyutu ve etkisi önemli olacak.","Rusya'dan getirilen S-400 hava savunma sistemi Türkiye'ye teslim edildi. Teslimatın tamamlanmasının ardından sistemin kullanıma başlanacağı belirtildi. ABD Savunma Bakan Vekili Mark Esper, Türkiye'nin S-400 alımı hakkında endişelerini ileteceği bir telefon görüşmesi yapacak. Türkiye'nin S-400 teslimatı, ABD ile ilişkileri ve F-35 projesini etkileyebilir. ABD'nin uygulayacağı yaptırımların boyutu ve etkisi önemli olacak.","Türkiye, Rus yapımı S-400 hava savunma sisteminin teslimatının başladığını resmi bir açıklamayla ilan etti. Açıklama, Türkiye-ABD ilişkilerinin yeni bir sürece girdiğine işaret ediyor. Washington'ın nasıl bir yaptırım paketini devreye sokacağı merak ediliyor.",21,"{'should_shuffle': True, 'should_remove_sentence': False, 'should_remove_random_words': {'enabled': True, 'number': 14}, 'should_replace_words_with_lemma_form': {'enabled': True, 'number': 34}, 'should_replace_conjunctions': {'enabled': False, 'number': 5}, 'should_replace_ner': {'enabled': False, 'number': 0}, 'should_random_sentence_from_another_paper': {'enabled': False, 'number': 0}}",2,"['Coherence', 'Fluency']"
"İzmirliler Kürt sorun barışçıl çözüm arayışını fark açı değer. Bazıları süreç şüpheyle yaklaşmak, Öcalan'ın idam edilmesini dahi savunmak var. Sosyalistler ise temkinli de olmak umutlu. genç, milliyetçilik ve dinî hassasiyetlerin tehlike olmak düşünüyor ve barışın gerek inanmak. kim İzmirliler ise sürecin Arkas başka hesap olmak düşünmek ve Akp güvenmek. İbrahim Uslu: Katılım oranı düşebilir Öte yandan bunun tersini düşünenler de var. BBC Türkçe Ankara muhabiri Ayşe Sayın'ın kulis haberine göre 31 Mart'ta MHP ile birlikte seçimi ""beka sorunu"" söylemi üzerine oturtan AKP, geçmişte kendilerine oy veren muhafazakâr Kürtlerin büyük oranda sandığa gitmediğini, bunda da Kürtlerin ""terör""le özdeşleştirilmesinin büyük etkisi olduğu değerlendirmesi yapıldı. ""İnsanları sandığa götürebilmek için tüm partiler ellerindeki tüm gerekçeleri 31 Mart'ta kullandılar. öğretmek olan bir İzmirli ise Kürt okul müdür bölge hizmet etmek gerekmek savunmak.","İzmirliler Kürt sorununa barışçıl çözüm arayışını farklı açılardan değerlendiriyor. Bazıları sürece şüpheyle yaklaşırken, Öcalan'ın idam edilmesini dahi savunanlar var.  Sosyalistler ise temkinli de olsa umutlu. Gençler, milliyetçilik ve dini hassasiyetlerin tehlikeli olduğunu düşünüyor ve barışın gerekliliğine inanıyor.  Kimi İzmirliler ise sürecin arkasında başka hesaplar olduğunu düşünüyor ve AKP'ye güvenmiyor.  Öğretmen olan bir İzmirli ise Kürt okul müdürlerinin bölgede hizmet etmesi gerektiğini savunuyor.
","İzmir'de yapılan bir araştırmada, sokaktaki vatandaşların Kürt sorununa barışçıl çözüm arayışını nasıl değerlendirdikleri ve sürece güvenip güvenmedikleri sorulmuştur. Araştırmaya katılanların çoğunluğu terörle mücadelede sert önlemler alınmasını ve teröristlerin cezalandırılmasını desteklemektedir.","İzmir'de yapılan bir araştırmada, sokaktaki vatandaşların Kürt sorununa barışçıl çözüm arayışını nasıl değerlendirdikleri ve sürece güvenip güvenmedikleri sorulmuştur. Araştırmaya katılanların çoğunluğu terörle mücadelede sert önlemler alınmasını ve teröristlerin cezalandırılmasını desteklemektedir.","İzmirlilerin söylediğine göre kent, yazdan sonra ilk sıcak günlerini yaşamaya başladı. Şehre bahar gelmiş. Öğrenciler, çocuklu anneler, öğle arasını deniz kenarında geçiren çalışanlar Kordon'da oturuyor, yürüyor, yemek yiyor.",29,"{'should_shuffle': False, 'should_remove_sentence': True, 'should_remove_random_words': {'enabled': True, 'number': 9}, 'should_replace_words_with_lemma_form': {'enabled': True, 'number': 38}, 'should_replace_conjunctions': {'enabled': False, 'number': 6}, 'should_replace_ner': {'enabled': False, 'number': 0}, 'should_random_sentence_from_another_paper': {'enabled': True, 'number': 3}}",2,"['Relevance', 'Coherence']"
"İsrail, Gazze'ye düzenlediği hava saldırılarında Hamas'a ait hedefleri vurduğunu açıkladı. Saldırılarda iki Filistinli hayatını kaybetti, toplam ölü sayısı dörde yükselirken en az 25 kişi de yaralandı.  Gazze'den İsrail'e atılan bir roket Sderot kasabasına düştü, ancak can kaybı yaşanmadı.  Bu saldırılar, Filistinlilerin ABD'nin Kudüs kararını protesto ettiği ve iki kişinin öldüğü, çok sayıda kişinin yaralandığı gösterilerin ardından geldi. Hamas yetkilisi, büyükelçiliğini Kudüs'e taşıyan ülkeleri ""düşman"" olarak nitelendirdi.
","İsrail, Gazze'ye düzenlediği hava saldırılarında Hamas'a ait hedefleri vurduğunu açıkladı. Saldırılarda iki Filistinli hayatını kaybetti, toplam ölü sayısı dörde yükselirken en az 25 kişi de yaralandı.  Gazze'den İsrail'e atılan bir roket Sderot kasabasına düştü, ancak can kaybı yaşanmadı.  Bu saldırılar, Filistinlilerin ABD'nin Kudüs kararını protesto ettiği ve iki kişinin öldüğü, çok sayıda kişinin yaralandığı gösterilerin ardından geldi. Hamas yetkilisi, büyükelçiliğini Kudüs'e taşıyan ülkeleri ""düşman"" olarak nitelendirdi.
","İsrail'in Gazze'ye düzenlemek hava saldırı en azmak 25 kişi yara 2 kişi hayat kaybetmek. Filistinli protesto gösteri ise devam ediyor şu anmak Kadar en az 217 kişi hayatını kaybetmek. Lavrov’un Suriyeli mevkidaşı Velid Muallim’e ilettiği öneriye Suriyeli yetkililerin sıcak yaklaştığı belirtiliyor. İsrail, saldırı Hamas a ait silah fabrikalarını Hedef almak için gerçek açıklamak. ABD İstanbul İsrail tanımak ise Kudüs'da protesto edildi.","İsrail'in Gazze'ye düzenlediği hava saldırılarında en az 25 kişi yaralandı ve 2 kişi hayatını kaybetti. İsrail, saldırıları Hamas'a ait silah fabrikalarını hedef almak için gerçekleştirdiğini açıkladı. Filistinlilerin protesto gösterileri ise devam ediyor ve şu ana kadar en az 217 kişi hayatını kaybetti. ABD'nin Kudüs'ü İsrail'in başkenti olarak tanıması ise İstanbul'da protesto edildi.",ABD Başkanı Donald Trump'ın Kudüs'ü İsrail'in başkenti olarak tanıma ve Amerikan Büyükelçiliğini Tel Aviv'den bu kente taşıma kararı sonrası bölgede gerginlik arttı.,31,"{'should_shuffle': True, 'should_remove_sentence': True, 'should_remove_random_words': {'enabled': True, 'number': 12}, 'should_replace_words_with_lemma_form': {'enabled': True, 'number': 32}, 'should_replace_conjunctions': {'enabled': False, 'number': 6}, 'should_replace_ner': {'enabled': True, 'number': 9}, 'should_random_sentence_from_another_paper': {'enabled': True, 'number': 1}}",1,"['Relevance', 'Consistency', 'Fluency', 'Coherence']"
"##ash Üniversitesiash Üniversitesi'nin araştırmasına göre, sigara içenler içmeyenlere kıyasla daha fazla hastalık izni kullanıyor ve iş verimleri düşük. Sigara içenlerin verimsiz geçirdiği gün sayısı içmeyenlerden neredeyse iki kat fazla. Sigara molaları ve sigaraya bağlı hastalıklar verim kaybına neden oluyor ve ekonomik maliyetleri artırıyor. Avustralya'da sigara tüketimi nedeniyle toplam yaşam süresinde önemli bir azalma öngörülüyor. Araştırmacılar, hükümetin sigara ile mücadeleye daha fazla yatırım yapması gerektiğini vurguluyor.","Monash Üniversitesi'nin araştırmasına göre, sigara içenler içmeyenlere kıyasla daha fazla hastalık izni kullanıyor ve iş verimleri düşük.  Sigara içenlerin verimsiz geçirdiği gün sayısı içmeyenlerden neredeyse iki kat fazla.  Sigara molaları ve sigaraya bağlı hastalıklar verim kaybına neden oluyor ve ekonomik maliyetleri artırıyor.  Avustralya'da sigara tüketimi nedeniyle toplam yaşam süresinde önemli bir azalma öngörülüyor.  Araştırmacılar, hükümetin sigara ile mücadeleye daha fazla yatırım yapması gerektiğini vurguluyor.
","Monash Üniversitesi uzmanlarının yaptığı araştırma, sigara içenlerin daha fazla hastalık izni aldığını ve iş yerlerinde daha az verimli olduklarını ortaya koydu. Sigara tüketiminin azaltılmasıyla hem çalışanların hem de ekonominin sağlığının korunabileceği vurgulandı.","Monash Üniversitesi uzmanlarının yaptığı araştırma, sigara içenlerin daha fazla hastalık izni aldığını ve iş yerlerinde daha az verimli olduklarını ortaya koydu. Sigara tüketiminin azaltılmasıyla hem çalışanların hem de ekonominin sağlığının korunabileceği vurgulandı.",Avustralya'da iş yerlerinde sigara içilmesinin ekonomiye maliyetinin 288 milyar ABD dolarına çıkabileceği açıklandı. Bu verilerin yayımlanmasından sonra iş yerlerinde sigaranın tamamen yasaklanması çağrıları yapıldı.,37,"{'should_shuffle': False, 'should_remove_sentence': False, 'should_remove_random_words': {'enabled': False, 'number': 0}, 'should_replace_words_with_lemma_form': {'enabled': False, 'number': 0}, 'should_replace_conjunctions': {'enabled': False, 'number': 0}, 'should_replace_ner': {'enabled': True, 'number': 9}, 'should_random_sentence_from_another_paper': {'enabled': False, 'number': 0}}",2,['Consistency']
"ABD ve Türkiye, İncirlik Üssü'nün IŞİD'e karşı hava operasyonları için kullanılması konusunda anlaşmaya vardı.  Anlaşma sonrası Amerikan insansız hava araçları İncirlik'ten havalanarak IŞİD hedeflerini vurdu.  Uzmanlar, İncirlik'in açılmasının iki ülke ilişkilerine etkisini farklı açılardan değerlendiriyor.  Bazıları önemli bir dönüm noktası olduğunu düşünürken, bazıları ise ilişkilerdeki soğukluğun devam edebileceği görüşünde.  Türkiye'nin istediği güvenli bölgenin nasıl korunacağı konusunda ise belirsizlikler sürüyor.
","ABD ve Türkiye, İncirlik Üssü'nün IŞİD'e karşı hava operasyonları için kullanılması konusunda anlaşmaya vardı.  Anlaşma sonrası Amerikan insansız hava araçları İncirlik'ten havalanarak IŞİD hedeflerini vurdu.  Uzmanlar, İncirlik'in açılmasının iki ülke ilişkilerine etkisini farklı açılardan değerlendiriyor.  Bazıları önemli bir dönüm noktası olduğunu düşünürken, bazıları ise ilişkilerdeki soğukluğun devam edebileceği görüşünde.  Türkiye'nin istediği güvenli bölgenin nasıl korunacağı konusunda ise belirsizlikler sürüyor.
","ABD ve Türkiye arasında varılan anlaşma sonucunda, Pentagon'un İncirlik Üssü'nden kalkan Amerikan insansız hava araçları IŞİD hedeflerini vurdu. Bu anlaşma, Türkiye-ABD ilişkilerinde olumlu bir adım olarak değerlendirilebilir.","ABD ve Türkiye arasında varılan anlaşma sonucunda, Pentagon'un İncirlik Üssü'nden kalkan Amerikan insansız hava araçları IŞİD hedeflerini vurdu. Bu anlaşma, Türkiye-ABD ilişkilerinde olumlu bir adım olarak değerlendirilebilir.","Yaklaşık 60 yıllık tarihinde, bölgedeki kritik gelişmeler sırasında çok kez Türkiye gündeminin üst sıralarına oturan İncirlik Hava Üssü, ABD öncülüğündeki koalisyonun IŞİD’e yönelik mücadelesinde kullanılmak üzere Amerikan savaş uçaklarına açıldı.",41,"{'should_shuffle': True, 'should_remove_sentence': False, 'should_remove_random_words': {'enabled': False, 'number': 0}, 'should_replace_words_with_lemma_form': {'enabled': False, 'number': 0}, 'should_replace_conjunctions': {'enabled': False, 'number': 0}, 'should_replace_ner': {'enabled': False, 'number': 0}, 'should_random_sentence_from_another_paper': {'enabled': False, 'number': 0}}",2,['Fluency']
"Kerkük'te bir kafe yakınında bomba yüklü araç patlaması sonucu çok sayıda kişi hayatını kaybetti.  Ölü sayısı konusunda farklı bilgiler var, emniyet yetkilileri 16, bazı kaynaklar ise 21 ölü olduğunu bildiriyor.  Saldırının bir intihar bombacısı tarafından gerçekleştirildiği belirtiliyor.  Daha önce güvenli bir bölge olarak bilinen Kerkük, son zamanlarda saldırıların hedefi oluyor. Ağustos ayında gerçekleşen bombalı saldırılarda ise 38 kişi ölmüştü.
",,"Kerkük'te bir kafenin yakınında bomba yüklü bir aracın patlaması sonucu ölü sayısı hakkında çelişkili açıklamalar yapıldı. Saldırının intihar bombacısı tarafından gerçekleştirildiği belirtilirken, son zamanlarda Kerkük'ün saldırılara hedef olduğu görülüyor. Bağdat'ta ise Şii mahallelerinde gerçekleşen üç bombalı saldırıda en az 15 kişi hayatını kaybetti.",,Irak'ın kuzeyinde yer alan petrol kenti Kerkük'te gerçekleşen bombalı saldırıda en az 16 kişi hayatını kaybetti.,43,"{'should_shuffle': False, 'should_remove_sentence': True, 'should_remove_random_words': {'enabled': True, 'number': 8}, 'should_replace_words_with_lemma_form': {'enabled': True, 'number': 43}, 'should_replace_conjunctions': {'enabled': False, 'number': 3}, 'should_replace_ner': {'enabled': True, 'number': 10}, 'should_random_sentence_from_another_paper': {'enabled': True, 'number': 2}}",0,
"Manchester United, 689 milyon euro gelirle Real Madrid'i geçerek 11 yıl sonra Deloitte Futbol Para Ligi'nde zirveye oturdu.  Fenerbahçe ve Galatasaray da sırasıyla 157,7 ve 155,9 milyon euro gelirle listeye girdi.  İlk 20'deki kulüplerin toplam geliri 7,4 milyar euro ile rekor kırdı. Listede sekiz Premier Lig takımı yer alırken, bunların toplam geliri 3,2 milyar euro oldu.  Leicester City de ilk 20'ye girmeyi başardı.
",,"Deloitte'un raporuna göre, Manchester United 2015-2016 sezonunda 689 milyon euroluk gelir elde ederek Real Madrid'i geride bıraktı ve bu unvanı 11 yıldır elinde tutan Real Madrid'i geçti. Fenerbahçe ve Galatasaray da geçen sezon elde ettikleri gelirle listede yer aldı.",,"Manchester United, geçen sezon dünyanın en çok gelir elde eden futbol kulübü oldu. Listede yer alan iki Türk kulübü ise 25. sıradaki Fenerbahçe ve 26. sıradaki Galatasaray .",56,"{'should_shuffle': False, 'should_remove_sentence': True, 'should_remove_random_words': {'enabled': True, 'number': 12}, 'should_replace_words_with_lemma_form': {'enabled': True, 'number': 35}, 'should_replace_conjunctions': {'enabled': False, 'number': 6}, 'should_replace_ner': {'enabled': True, 'number': 9}, 'should_random_sentence_from_another_paper': {'enabled': True, 'number': 1}}",0,
"Mısır'da hakimler, Mursi'nin yeni kararnamesini protesto ederek greve gitti.  Kararname, Mursi'ye geniş yetkiler veriyor ve kararlarının yargı denetimine tabi olmadığını belirtiyordu.  Bu durum, muhalefetin ve yargı organlarının tepkisini çekti.  Ülke genelinde protesto gösterileri düzenlenirken, Mursi kararnamesinin sınırlı olduğunu savunarak durumu yatıştırmaya çalıştı.  Yargıçlar ise kararnameyi tamamen geri çekmesini talep ediyor.
",,"Mısır'da Cumhurbaşkanı Mursi'nin yayınladığı kararname, hakimler, temyiz mahkemeleri ve Yargıtay'ın çalışmalarını durduracağını duyurmasıyla geniş tepki yarattı. Kararnamenin yetkileri artırması ve yargıyı etkisiz hale getirmesi nedeniyle göstericiler Mursi'yi protesto ediyor.",,Mısır'da yargıçlar Cumhurbaşkanı Muhammed Mursi'nin kendisine geniş yetkiler tanıyan ve yargı denetimini kısıtlayan kararnamesini protesto için greve gidiyor.,57,"{'should_shuffle': True, 'should_remove_sentence': False, 'should_remove_random_words': {'enabled': True, 'number': 11}, 'should_replace_words_with_lemma_form': {'enabled': True, 'number': 48}, 'should_replace_conjunctions': {'enabled': False, 'number': 6}, 'should_replace_ner': {'enabled': True, 'number': 5}, 'should_random_sentence_from_another_paper': {'enabled': False, 'number': 0}}",0,
"S&P, ABD'nin AAA kredi notunu korudu ancak iki yıl içinde düşürülebileceği uyarısında bulundu. Bu karar, ABD'nin rekor seviyedeki bütçe açığı ve hükümetin bu açığı kapatma politikasındaki belirsizlik nedeniyle alındı.  Amerikan ve Avrupa borsaları bu karar sonrası değer kaybetti ve dolar diğer para birimleri karşısında düştü.  S&P'nin kararı, Demokratlar ve Cumhuriyetçiler arasında bütçe açığı konusunda süregelen anlaşmazlığa bağlanıyor.  ABD Hazine Bakanlığı ise S&P'nin değerlendirmesini eleştirdi.
",,"ABD'nin AAA kredi notu, ülkenin rekor seviyedeki bütçe açığı ve politik belirsizlik nedeniyle tehlikeye girebilir. Bu karar, Amerikan ve Avrupa borsalarında ani değer kayıplarına neden oldu.",,"Uluslararası kredi derecelendirme kuruluşu Standard and Poors, Amerika Birleşik Devletleri'nin uzun vadeli kredi notu görünümünü durağandan negatife çevirdi.",78,"{'should_shuffle': True, 'should_remove_sentence': True, 'should_remove_random_words': {'enabled': True, 'number': 8}, 'should_replace_words_with_lemma_form': {'enabled': True, 'number': 46}, 'should_replace_conjunctions': {'enabled': False, 'number': 4}, 'should_replace_ner': {'enabled': True, 'number': 3}, 'should_random_sentence_from_another_paper': {'enabled': True, 'number': 1}}",0,
