gemini_prediction,orig_gemini_prediction,gpt_prediction,orig_gpt_prediction,label,q_idx,config,strategy,criteria
"Dokter di India bekerja keras menangani pandemi Covid-19, namun menghadapi diskriminasi dan kekerasan.  Beberapa dokter diserang, diludahi, dan diusir oleh warga yang ketakutan.  Bahkan, ada laporan pelecehan terhadap perawat perempuan oleh pasien.  Sebuah video viral menunjukkan dua dokter perempuan dilempari batu saat bertugas.  Meskipun menghadapi tantangan, para dokter tetap berkomitmen menjalankan tugas mereka.
","Dokter di India bekerja keras menangani pandemi Covid-19, namun menghadapi diskriminasi dan kekerasan.  Beberapa dokter diserang, diludahi, dan diusir oleh warga yang ketakutan.  Bahkan, ada laporan pelecehan terhadap perawat perempuan oleh pasien.  Sebuah video viral menunjukkan dua dokter perempuan dilempari batu saat bertugas.  Meskipun menghadapi tantangan, para dokter tetap berkomitmen menjalankan tugas mereka.
","MERS dianggap lebih mematikan dibanding virus SARS yang muncul di Asia pada 2003 tetapi lebih sulit ditularkan dibandingkan SARS. Dokter di India bekerja lembur untuk menghentikan penyebaran virus corona. Beberapa dokter mengalami serangan dan diskriminasi dari masyarakat. Meskipun demikian, mereka tetap berjuang dan membutuhkan dukungan semua orang dalam melawan virus corona.","Dokter di India bekerja lembur untuk menghentikan penyebaran virus corona. Beberapa dokter mengalami serangan dan diskriminasi dari masyarakat. Meskipun demikian, mereka tetap berjuang dan membutuhkan dukungan semua orang dalam melawan virus corona.",Sejumlah tenaga kesehatan di India dilaporkan mengalami serangan dari anggota masyarakat selagi berupaya menghentikan penyebaran virus corona.,4,"{'should_shuffle': False, 'should_remove_sentence': True, 'should_remove_random_words': {'enabled': False, 'number': 0}, 'should_replace_words_with_lemma_form': {'enabled': False, 'number': 0}, 'should_replace_conjunctions': {'enabled': False, 'number': 0}, 'should_replace_ner': {'enabled': True, 'number': 4}, 'should_random_sentence_from_another_paper': {'enabled': True, 'number': 1}}",1,"['Consistency', 'Relevance']"
"Polisi menggerebek gudang di Izmir yang memproduksi jaket pelampung palsu untuk pengungsi.  Jaket-jaket tersebut diisi dengan material tak layak apung seperti kotak kemasan, bukan bahan pengapung.  Empat pekerja, termasuk dua anak perempuan Suriah, tertangkap basah membuat jaket palsu.  Penggerebekan terjadi setelah lebih 20 jenazah pengungsi ditemukan di perairan Turki, banyak yang mengenakan jaket pelampung.  Banyak pengungsi membeli jaket murah yang tidak berfungsi, meningkatkan risiko tenggelam saat menyeberang ke Eropa.
",,Riverdance di Irlandia memecahkan rekor dengan lebih dari 2.000 penari dari 163 sekolah tari di 44 negara yang berkumpul di pinggiran sungai Liffey. Pertunjukan ini dipimpin oleh Jean Butler dan merupakan bagian dari program The Gathering untuk menarik turis ke Irlandia. Guinness World Records mencatat 1.693 penari yang berpartisipasi.,,Pihak berwenang Turki menyita lebih dari 1.000 jaket pelampung palsu yang dibuat untuk para pengungsi yang ingin menyeberang Laut Aegea menuju Yunani.,7,"{'should_shuffle': True, 'should_remove_sentence': True, 'should_remove_random_words': {'enabled': False, 'number': 0}, 'should_replace_words_with_lemma_form': {'enabled': False, 'number': 0}, 'should_replace_conjunctions': {'enabled': False, 'number': 0}, 'should_replace_ner': {'enabled': True, 'number': 6}, 'should_random_sentence_from_another_paper': {'enabled': True, 'number': 2}}",0,
"Daftar Mainan Impian dari Asosiasi Pedagang Mainan Inggris menampilkan mainan dengan rentang harga Rp154.000 hingga Rp1,9 juta.  Mainan termurah adalah Lego Minecraft seharga Rp154.000.  Kidizoom Smart Watch seharga Rp770.000 menawarkan fitur pemantauan lokasi anak.  Senapan Nerf Demolisher dengan dua jenis amunisi dihargai Rp867.000.  Boneka Frozen Sparkle dan Toot-Toot Animals Safari Park masing-masing dijual seharga Rp324.000 dan Rp770.000.
","Daftar Mainan Impian dari Asosiasi Pedagang Mainan Inggris menampilkan mainan dengan rentang harga Rp154.000 hingga Rp1,9 juta.  Mainan termurah adalah Lego Minecraft seharga Rp154.000.  Kidizoom Smart Watch seharga Rp770.000 menawarkan fitur pemantauan lokasi anak.  Senapan Nerf Demolisher dengan dua jenis amunisi dihargai Rp867.000.  Boneka Frozen Sparkle dan Toot-Toot Animals Safari Park masing-masing dijual seharga Rp324.000 dan Rp770.000.
","Pihak-pihak yang ia temui, lanjutnya, meliputi pemerintah, anggota parlemen, lembaga swadaya masyarakat maupun individu yang bersimpati. Ia menyebut kunjungannya ini sebagai tur dunia untuk menggalang dukungan. homoseksualitas masih anggap ilegal dan juga beberapa negara meskipun cina, india, uganda, rusia. Prinsipnya ia berpendapat integrasi Papua ke wilayah Indonesia melalui penentuan pendapat pada 1969 adalah cacat karena hanya diwakili segelintir penduduk Papua. bendera pelangi lgbt, cipta oleh gilbert baker 1978, telah simbol bangga, raya, protes kaum lgbt sambil seluruh dunia. namun, ada juga negara seperti inggris israel telah legal homoseksualitas.","Bendera pelangi LGBT, diciptakan oleh Gilbert Baker pada tahun 1978, telah menjadi simbol kebanggaan, perayaan, dan protes kaum LGBT di seluruh dunia. Homoseksualitas masih dianggap ilegal di beberapa negara seperti Cina, Rusia, Uganda, dan India. Namun, ada juga negara seperti Inggris dan Israel yang telah melegalkan homoseksualitas.","Boneka, Lego dan aneka perangkat teknologi diprediksi menjadi mainan yang paling diinginkan anak-anak Inggris pada Natal tahun ini.",10,"{'should_shuffle': True, 'should_remove_sentence': True, 'should_remove_random_words': {'enabled': True, 'number': 10}, 'should_replace_words_with_lemma_form': {'enabled': True, 'number': 43}, 'should_replace_conjunctions': {'enabled': True, 'number': 3}, 'should_replace_ner': {'enabled': True, 'number': 6}, 'should_random_sentence_from_another_paper': {'enabled': True, 'number': 3}}",1,"['Fluency', 'Consistency', 'Coherence', 'Relevance']"
"Buruh Italia berunjuk rasa menentang kebijakan penghematan anggaran.  Cina, melalui Kepala CIC Lou Jiwei, telah bertemu dengan pejabat Italia membahas pembelian surat utang dan investasi di perusahaan strategis Italia.  Kabar ini sempat mendorong rebound pasar saham AS, namun pasar saham Asia meresponnya dengan beragam karena kekhawatiran akan krisis utang Eropa, terutama Yunani.  Utang Italia mencapai 120% dari GDP, sementara Cina memiliki cadangan devisa lebih dari US$3 triliun.  Kondisi ini mendorong hubungan saling menguntungkan antara kedua negara.
","Buruh Italia berunjuk rasa menentang kebijakan penghematan anggaran.  Cina, melalui Kepala CIC Lou Jiwei, telah bertemu dengan pejabat Italia membahas pembelian surat utang dan investasi di perusahaan strategis Italia.  Kabar ini sempat mendorong rebound pasar saham AS, namun pasar saham Asia meresponnya dengan beragam karena kekhawatiran akan krisis utang Eropa, terutama Yunani.  Utang Italia mencapai 120% dari GDP, sementara Cina memiliki cadangan devisa lebih dari US$3 triliun.  Kondisi ini mendorong hubungan saling menguntungkan antara kedua negara.
","Lagu Survival oleh Muse adalah lagu yang dramatis dan penuh semangat. Lagu ini memiliki durasi hampir lima setengah menit dan mengandung pesan motivasi untuk mencapai hasil terbaik. Meskipun ada yang menganggapnya bombastis, lagu ini berhasil menarik perhatian banyak orang. Meskipun ada yang tidak menyukainya, lagu ini akan selalu diingat karena keunikannya.","Lagu Survival oleh Muse adalah lagu yang dramatis dan penuh semangat. Meskipun ada yang menganggapnya bombastis, lagu ini berhasil menarik perhatian banyak orang. Lagu ini memiliki durasi hampir lima setengah menit dan mengandung pesan motivasi untuk mencapai hasil terbaik. Meskipun ada yang tidak menyukainya, lagu ini akan selalu diingat karena keunikannya.",Perusahaan Investasi Cina (CIC) tengah dalam perundingan dengan pemerintah Italia untuk kemungkinan membeli surat utang negeri itu.,39,"{'should_shuffle': True, 'should_remove_sentence': False, 'should_remove_random_words': {'enabled': False, 'number': 0}, 'should_replace_words_with_lemma_form': {'enabled': False, 'number': 0}, 'should_replace_conjunctions': {'enabled': False, 'number': 0}, 'should_replace_ner': {'enabled': True, 'number': 10}, 'should_random_sentence_from_another_paper': {'enabled': False, 'number': 0}}",1,"['Fluency', 'Consistency']"
"Speedo mengakhiri kontrak sponsornya dengan perenang Ryan Lochte setelah insiden perusakan toilet di Rio.  Lochte dan tiga perenang AS lainnya awalnya mengaku dirampok, namun kemudian terbukti berbohong.  Speedo mengecam perilaku Lochte yang bertentangan dengan nilai merek mereka.  Meskipun nilai kontrak tidak dipublikasikan, Speedo akan mendonasikan US$50.000  dari sponsor Lochte untuk amal di Brasil.  Pada tahun 2012, Lochte diperkirakan memiliki pendapatan US$2 juta dari berbagai sponsor.
",,"Prancis meningkatkan keamanan setelah serangan terhadap Charlie Hebdo dan toko Yahudi. Seorang pria Aljazair ditangkap atas dugaan merencanakan serangan gereja. 1.573 warga Prancis terlibat dalam jaringan teror, 442 di antaranya berada di Suriah.",,"Industri peralatan renang, Speedo, menghentikan sponsor untuk perenang Amerika Serikat, Ryan Lochte, yang 'mengarang' laporan perampokan di Olimpiade Rio.",70,"{'should_shuffle': True, 'should_remove_sentence': True, 'should_remove_random_words': {'enabled': True, 'number': 13}, 'should_replace_words_with_lemma_form': {'enabled': True, 'number': 32}, 'should_replace_conjunctions': {'enabled': True, 'number': 3}, 'should_replace_ner': {'enabled': True, 'number': 10}, 'should_random_sentence_from_another_paper': {'enabled': True, 'number': 2}}",0,
"Suhu eropa timur, khusus ukraina, karena suhu capai minus 20 derajat Celcius sampai sebagai lebih dari 80 mati. musim datang lebih awal ukraina, akibat kiev wilayah lain tertutup lapisan es tebal. ""Fosil dan tulang belulang kuno adalah bagian dari sejarah alami sebuah negara dan warisan budaya, dan pemain pasar gelap seperti Prokopi yang secara ilegal mengekspor dan menjual keajaiban dunia itu, mencuri sekeping sejarah itu,"" kata Bharara. suhu diperkirakan akan terus turun dengan bawah minus 23 derajat Celcius. juga itu, banjir akibat hujan deras ganggu transportasi di inggris menjelang libur natal Tahun Baru. meski warga ukraina menganggap cuaca dingin biasa, puluh orang juga tinggal rusia polandia.","Suhu dingin ekstrem melanda Eropa Timur, khususnya Ukraina, dengan suhu mencapai minus 20 derajat Celcius dan menyebabkan lebih dari 80 kematian.  Musim dingin datang lebih awal di Ukraina, mengakibatkan Kiev dan wilayah lain tertutup lapisan es tebal.  Suhu diperkirakan akan terus turun di bawah minus 23 derajat Celcius.  Meskipun warga Ukraina menganggap cuaca dingin ini biasa, puluhan orang juga meninggal di Rusia dan Polandia.  Sementara itu, banjir akibat hujan deras mengganggu transportasi di Inggris menjelang liburan Natal dan Tahun Baru.
",Mikel Arteta berjanji untuk meningkatkan permainan setelah kekalahan memalukan Arsenal dari Swansea. Dia berharap timnya bisa bangkit dalam pertandingan Selasa dan mendapatkan kemenangan di kandang. Arsenal saat ini berada di peringkat empat klasemen Liga Primer.,Mikel Arteta berjanji untuk meningkatkan permainan setelah kekalahan memalukan Arsenal dari Swansea. Dia berharap timnya bisa bangkit dalam pertandingan Selasa dan mendapatkan kemenangan di kandang. Arsenal saat ini berada di peringkat empat klasemen Liga Primer.,"Suhu dingin ekstrem yang melanda wilayah Eropa Timur dan Rusia telah merenggut hampir 200 jiwa sejauh ini, jumlah korban terbesar terjadi di Ukraina.",72,"{'should_shuffle': True, 'should_remove_sentence': True, 'should_remove_random_words': {'enabled': True, 'number': 10}, 'should_replace_words_with_lemma_form': {'enabled': True, 'number': 47}, 'should_replace_conjunctions': {'enabled': True, 'number': 5}, 'should_replace_ner': {'enabled': False, 'number': 0}, 'should_random_sentence_from_another_paper': {'enabled': True, 'number': 1}}",2,"['Relevance', 'Coherence', 'Fluency']"
"Di India, distribusi pembalut gratis untuk siswi terganggu akibat pandemi.  Banyak siswi, seperti Priya, terpaksa membeli pembalut sendiri atau menggunakan kain bekas karena sekolah tutup.  Aktivis seperti Madhu Bala Rawat menyuarakan keprihatinan atas kurangnya akses pembalut,  menekankan pentingnya pembalut bagi perempuan.  Meskipun ada upaya dari LSM dan pemerintah,  minimnya transportasi dan tabu menstruasi mempersulit akses pembalut, terutama di daerah pedesaan.
","Di India, distribusi pembalut gratis untuk siswi terganggu akibat pandemi.  Banyak siswi, seperti Priya, terpaksa membeli pembalut sendiri atau menggunakan kain bekas karena sekolah tutup.  Aktivis seperti Madhu Bala Rawat menyuarakan keprihatinan atas kurangnya akses pembalut,  menekankan pentingnya pembalut bagi perempuan.  Meskipun ada upaya dari LSM dan pemerintah,  minimnya transportasi dan tabu menstruasi mempersulit akses pembalut, terutama di daerah pedesaan.
",tunda eksekusi mary jane Veloso sambut sampai kegembiraan indonesia. hal tunjuk buruk sistem hukum Indonesia sementara perlu ubah dalam tegak hukum seandainya pemerintahan bersih. penting agar hapus hukum mati juga tidak henti terap. presiden Jokowi perlu ubah dekat dalam tolak mohon grasi.,Penundaan eksekusi Mary Jane Veloso disambut dengan kegembiraan di Filipina. Hal ini menunjukkan buruknya sistem hukum di Indonesia dan perlunya perubahan dalam penegakan hukum dan pemerintahan yang bersih. Penting untuk menghapuskan hukuman mati atau setidaknya menghentikan penerapannya. Presiden Jokowi perlu mengubah pendekatannya dalam menolak permohonan grasi.,"Perempuan usia pelajar di India mengalami kekurangan pembalut karena sekolah – yang selama ini menjadi tempat distribusi – tutup selama pandemi. Ini membuat jutaan remaja di seluruh India cemas, tulis wartawan BBC Geeta Pandey dari Delhi.",85,"{'should_shuffle': False, 'should_remove_sentence': False, 'should_remove_random_words': {'enabled': True, 'number': 14}, 'should_replace_words_with_lemma_form': {'enabled': True, 'number': 35}, 'should_replace_conjunctions': {'enabled': True, 'number': 6}, 'should_replace_ner': {'enabled': True, 'number': 6}, 'should_random_sentence_from_another_paper': {'enabled': False, 'number': 0}}",1,"['Coherence', 'Consistency']"
"Seorang perempuan terperosok ke dalam lubang sedalam satu meter di Fulham, London barat daya, saat sedang mendorong kereta dorong.  Sebelumnya, seorang pria juga terjatuh ke lubang yang sama dan mengalami cedera kaki.  Saksi mata mendengar teriakan dan melihat perempuan tersebut jatuh ke dalam lubang.  Seorang pegawai kafe sempat mencoba menghalangi lubang, namun perempuan tersebut menerobosnya.  Lubang tersebut kini telah dipasangi penghalang oleh petugas dewan kota.
","Seorang perempuan terperosok ke dalam lubang sedalam satu meter di Fulham, London barat daya, saat sedang mendorong kereta dorong.  Sebelumnya, seorang pria juga terjatuh ke lubang yang sama dan mengalami cedera kaki.  Saksi mata mendengar teriakan dan melihat perempuan tersebut jatuh ke dalam lubang.  Seorang pegawai kafe sempat mencoba menghalangi lubang, namun perempuan tersebut menerobosnya.  Lubang tersebut kini telah dipasangi penghalang oleh petugas dewan kota.
","blatter tidak undur diri sehingga presiden fifa, di serah nasibnya ke kongres fifa. dia diperkirakan akan calon diri lagi bagai presiden. City telah didenda antara £49 juta dan £32juta, yang kemudian ditangguhkan, dan dikenai pembatasan perekrutan pemain karena terbukti melanggar peraturan keuangan. blatter untuk tidak akan hadir final piala dunia karena selidik korupsi sedang langsung.","Blatter tidak mengundurkan diri sebagai presiden FIFA, tetapi menyerahkan nasibnya ke kongres FIFA. Dia diperkirakan akan mencalonkan diri lagi sebagai presiden. Blatter juga tidak akan hadir di final Piala Dunia Perempuan karena penyelidikan korupsi yang sedang berlangsung.","Seorang perempuan harus mendapat pertolongan sesudah ia ""menghilang"" ditelan sebuah lubang yang tiba-tiba muncul di trotoar.",87,"{'should_shuffle': False, 'should_remove_sentence': True, 'should_remove_random_words': {'enabled': True, 'number': 8}, 'should_replace_words_with_lemma_form': {'enabled': True, 'number': 30}, 'should_replace_conjunctions': {'enabled': True, 'number': 3}, 'should_replace_ner': {'enabled': False, 'number': 0}, 'should_random_sentence_from_another_paper': {'enabled': True, 'number': 1}}",1,"['Relevance', 'Coherence']"
"Keluarga korban penyerangan LP Cebongan menuntut keadilan dan transparansi dalam pengusutan kasus tersebut.  Mereka menginginkan persidangan para tersangka di pengadilan umum, bukan militer.  Namun, TNI AD telah menetapkan bahwa 11 anggota Kopassus yang terlibat akan diadili di pengadilan militer.  Komnas HAM juga sedang menyelidiki kasus ini, dan menurut pakar hukum,  pengadilan sipil hanya mungkin jika Komnas HAM menemukan adanya pelanggaran HAM berat.  TNI AD menyatakan penyerangan tersebut didasari motif balas dendam dan tidak terencana.
","Keluarga korban penyerangan LP Cebongan menuntut keadilan dan transparansi dalam pengusutan kasus tersebut.  Mereka menginginkan persidangan para tersangka di pengadilan umum, bukan militer.  Namun, TNI AD telah menetapkan bahwa 11 anggota Kopassus yang terlibat akan diadili di pengadilan militer.  Komnas HAM juga sedang menyelidiki kasus ini, dan menurut pakar hukum,  pengadilan sipil hanya mungkin jika Komnas HAM menemukan adanya pelanggaran HAM berat.  TNI AD menyatakan penyerangan tersebut didasari motif balas dendam dan tidak terencana.
","twitter akuisisi vine di 2012 agar akan henti aplikasi vine dalam beberapa bulan ke depan. umum kejut banyak guna twitter. guna masih dapat akses dan unduh vine mereka. vine tidak ikut kembang inovasi dari snapchat dan facebook. Eksekutif pemasaran itu juta menjadi perempuan pertama yang menjabat presiden Academy of Motion Picture Arts and Sciences, AMPAS, dalam tiga dekade belakangan ini.",Twitter mengakuisisi Vine pada 2012 dan akan menghentikan aplikasi Vine dalam beberapa bulan ke depan. Pengguna masih dapat mengakses dan mengunduh Vine mereka. Pengumuman ini mengejutkan banyak pengguna Twitter. Vine tidak mengikuti perkembangan inovasi dari Snapchat dan Facebook.,"Keluarga korban penembakan di LP Cebongan, Sleman, Yogyakarta hari ini meminta agar tersangka pelaku yang merupakan anggota Kopassus disidangkan di pengadilan umum.",89,"{'should_shuffle': True, 'should_remove_sentence': True, 'should_remove_random_words': {'enabled': True, 'number': 10}, 'should_replace_words_with_lemma_form': {'enabled': True, 'number': 46}, 'should_replace_conjunctions': {'enabled': True, 'number': 2}, 'should_replace_ner': {'enabled': False, 'number': 0}, 'should_random_sentence_from_another_paper': {'enabled': True, 'number': 1}}",1,"['Fluency', 'Coherence', 'Relevance']"
"midland freewheelers, layan antar sukarelawan, kini mengantarkan asi di Birmingham women s Hospital. asi ini tuju bagi dan yang ibu tidak dapat memproduksi asi sendiri. Layanan ini rupa tambah dari tugas awal mereka antar darah dan perlu medis. asi donor sangat penting meningkatkan sistem kebal dan lawan infeksi pada bayi-bayi sebut. kolaborasi ini pasti kirim asi yang cepat dan efisien setiap saat.","Midland Freewheelers, layanan antar sukarelawan bermotor, kini mengantarkan ASI untuk bayi di Birmingham Women's Hospital.  ASI ini ditujukan bagi bayi sakit dan prematur yang ibunya tidak dapat memproduksi ASI sendiri.  Layanan ini merupakan tambahan dari tugas awal mereka mengantar darah dan keperluan medis. ASI donor sangat penting untuk meningkatkan sistem kekebalan dan melawan infeksi pada bayi-bayi tersebut. Kolaborasi ini memastikan pengiriman ASI yang cepat dan efisien setiap saat.
","Adnan Ebrahim, seorang pengusaha teknologi, merasa malu tentang bisnis onlinenya. Dia mendirikan situs Car Throttle dan mulai menjual gelang-gelang plastik sejak kecil. Adnan berhasil membangun bisnisnya dan menjualnya pada tahun 2019. Sekarang, dia adalah CEO perusahaan kesehatan mental dan masuk dalam daftar Forbes' 30 Under 30.","Adnan Ebrahim, seorang pengusaha teknologi, merasa malu tentang bisnis onlinenya. Dia mendirikan situs Car Throttle dan mulai menjual gelang-gelang plastik sejak kecil. Adnan berhasil membangun bisnisnya dan menjualnya pada tahun 2019. Sekarang, dia adalah CEO perusahaan kesehatan mental dan masuk dalam daftar Forbes' 30 Under 30.",Sekelompok pria bermotor berinisiatif melakukan kegiatan amal dengan menjadi pengantar air susu ibu ke rumah sakit untuk bayi prematur.,97,"{'should_shuffle': False, 'should_remove_sentence': False, 'should_remove_random_words': {'enabled': True, 'number': 15}, 'should_replace_words_with_lemma_form': {'enabled': True, 'number': 49}, 'should_replace_conjunctions': {'enabled': True, 'number': 2}, 'should_replace_ner': {'enabled': False, 'number': 0}, 'should_random_sentence_from_another_paper': {'enabled': False, 'number': 0}}",2,['Coherence']
