gemini_prediction,orig_gemini_prediction,gpt_prediction,orig_gpt_prediction,label,q_idx,config,strategy,criteria
"وصف الرئيس الإيراني حسن روحاني إسرائيل بأنها ""جرح مفتوح"" يجب إزالته، وذلك عشية توليه منصبه.  جاءت هذه التصريحات قبيل يوم القدس، الذي يشهد مظاهرات حاشدة منددة بإسرائيل.  رد رئيس الوزراء الإسرائيلي بنيامين نتنياهو بأن تصريحات روحاني كشفت ""وجهه الحقيقي"" ونوايا النظام الإيراني.  وأكد نتنياهو على  هدف إيران المتمثل في تطوير سلاح نووي، محذراً من  خطورة ذلك على المنطقة والعالم.  وشدد على عدم السماح لإيران بامتلاك أسلحة دمار شامل.
","وصف الرئيس الإيراني حسن روحاني إسرائيل بأنها ""جرح مفتوح"" يجب إزالته، وذلك عشية توليه منصبه.  جاءت هذه التصريحات قبيل يوم القدس، الذي يشهد مظاهرات حاشدة منددة بإسرائيل.  رد رئيس الوزراء الإسرائيلي بنيامين نتنياهو بأن تصريحات روحاني كشفت ""وجهه الحقيقي"" ونوايا النظام الإيراني.  وأكد نتنياهو على  هدف إيران المتمثل في تطوير سلاح نووي، محذراً من  خطورة ذلك على المنطقة والعالم.  وشدد على عدم السماح لإيران بامتلاك أسلحة دمار شامل.
","نتنياهو يعلق بأن هذه التصريحات تكشف الوجه الحقيقي لروحاني ويحذر من تهديد لإسرائيل النووي إيران والعالم. وأعلنت وزارة الآثار المصرية أن الممياوات الثلاثة اكتُشفت في غرفة دفن تقود إلى الغرفة الرئيسية. روحاني يصف إسرائيل بأنها ""جرح مفتوح"" في العالم الإسلامي ويعتبر المحادثات السلامية فرصة لترويج صورة سلمية.","روحاني يصف إسرائيل بأنها ""جرح مفتوح"" في العالم الإسلامي ويعتبر المحادثات السلامية فرصة لترويج صورة سلمية. نتنياهو يعلق بأن هذه التصريحات تكشف الوجه الحقيقي لروحاني ويحذر من تهديد إيران النووي لإسرائيل والعالم.","صرح الرئيس الإيراني المنتخب حسن روحاني بأن إسرائيل ""جرح"" قديم في جسد العالم الإسلامي، وشكك في جدوى جهود إحياء مفاوضات السلام بين الدولة العبرية والفلسطينيين.",438,"{'should_shuffle': True, 'should_remove_sentence': True, 'should_remove_random_words': {'enabled': False, 'number': 0}, 'should_replace_words_with_lemma_form': {'enabled': False, 'number': 0}, 'should_replace_conjunctions': {'enabled': False, 'number': 0}, 'should_replace_ner': {'enabled': True, 'number': 5}, 'should_random_sentence_from_another_paper': {'enabled': True, 'number': 1}}",1,"['Consistency', 'Fluency', 'Relevance']"
"حذّر ولي العهد السعودي محمد بن سلمان من أن حرباً مع إيران ستدمر الاقتصاد العالمي، مؤكداً مسؤوليته عن مقتل جمال خاشقجي، ولكنه أنكر إصداره أوامر مباشرة بذلك.  أكد بن سلمان أن الهجمات على منشآت النفط السعودية تهدد المصالح العالمية،  مشيراً إلى أهمية المنطقة في إمدادات الطاقة والتجارة العالمية. ودعا بن سلمان إيران لوقف دعم الحوثيين في اليمن، معرباً عن أمله في حل سياسي للأزمة. كما رحّب بوقف إطلاق النار الذي أعلنه الحوثيون مؤخراً.
",,محمد بن سلمان يحذر من تدمير الاقتصاد العالمي في حال اشتعال حرب بين السعودية وإيران. يتحمل المسؤولية عن مقتل خاشقجي ويدعو إلى حل سياسي في اليمن. يحمل إيران المسؤولية عن هجمات منشآت النفط السعودية.,,"حذر ولي العهد السعودي، محمد بن سلمان، من ارتفاع في أسعار النفط ""بأرقام غير متخيلة"" إذا لم يتحرك العالم لردع إيران.",21,"{'should_shuffle': False, 'should_remove_sentence': False, 'should_remove_random_words': {'enabled': False, 'number': 0}, 'should_replace_words_with_lemma_form': {'enabled': False, 'number': 0}, 'should_replace_conjunctions': {'enabled': False, 'number': 0}, 'should_replace_ner': {'enabled': True, 'number': 10}, 'should_random_sentence_from_another_paper': {'enabled': False, 'number': 0}}",0,
"أكد أن مهمته تهدئة توتر التي أعقبت ثورة التونسية. رجع إلى ""فقر المدقع"" الذي أعان منه بعض شرائح. مشهد من فيلم الطيور الغاضبة Angry Birds، المقرر أن يبدأ عرضه في 13 مايو/ أيار المقبل لقد تراجعت الإيرادات، حيث تأثرت دور السينما بالإيرادات الباهتة لعام 2014. مشهد من فيلم الطيور الغاضبة Angry Birds، المقرر أن يبدأ عرضه في 13 مايو/ أيار المقبل لقد تراجعت الإيرادات، حيث تأثرت دور السينما بالإيرادات الباهتة لعام 2014. ووصف تيار سلف أن ""مصدر إزعاج"" سواء ليس تهديد للجمهورية، مشيرًا تراجع بعد هجوم على معرض فني. وفيما يتعلق بسلسلة أفلام حرب النجوم، يصدر منها فيلم Rogue One في ديسمبر/ كانون الأول. نفى أن تكون محكوم من قبل إسلامي مؤكد أن حزب حزب نهضة تقاسم سلط مع أحزاب يسار. لأن شدد على التزام حزب نهضة حقوق إنس رغم أزمة تسليم بغدادي محمود.","أكد المنصف المرزوقي أن مهمته تهدئة التوترات التي أعقبت الثورة التونسية.  ووصف التيار السلفي بأنه ""مصدر إزعاج"" لكنه ليس تهديدًا للجمهورية، مشيرًا لتراجعهم بعد هجومهم على معرض فني.  وأرجع المرزوقي التطرف إلى ""الفقر المدقع"" الذي تعاني منه بعض الشرائح.  ونفى أن تكون تونس محكومة من قبل الإسلاميين، مؤكدًا أن حزب النهضة يتقاسم السلطة مع أحزاب يسار الوسط.  كما شدد على التزام النهضة بحقوق الإنسان رغم أزمة تسليم البغدادي المحمودي.
",الرئيس التونسي المنصف المرزوقي يهدف إلى تهدئة التوترات في تونس ويصف التيار السلفي الإسلامي بأنه مصدر للإزعاج وليس تهديدًا للجمهورية. يؤكد أن حزب النهضة الإسلامي ملتزم بحقوق الإنسان وحقوق المرأة.,الرئيس التونسي المنصف المرزوقي يهدف إلى تهدئة التوترات في تونس ويصف التيار السلفي الإسلامي بأنه مصدر للإزعاج وليس تهديدًا للجمهورية. يؤكد أن حزب النهضة الإسلامي ملتزم بحقوق الإنسان وحقوق المرأة.,قال الرئيس التونسي المنصف المرزوقي في حديث صحفي إن بلاده لا تواجه خطر التطرف الإسلامي، وإن تونس يحكمها ائتلاف يوازن فيه اليساريون واحزاب الوسط الاسلاميين.,462,"{'should_shuffle': True, 'should_remove_sentence': True, 'should_remove_random_words': {'enabled': True, 'number': 10}, 'should_replace_words_with_lemma_form': {'enabled': True, 'number': 40}, 'should_replace_conjunctions': {'enabled': True, 'number': 4}, 'should_replace_ner': {'enabled': True, 'number': 5}, 'should_random_sentence_from_another_paper': {'enabled': True, 'number': 3}}",2,"['Fluency', 'Coherence', 'Consistency', 'Relevance']"
حكمت السلطات بني حشيشية على العشرات من المتمردين الحوثيون بالسجن لمدد تتراوح بين 3 و12 عامًا. ألقي القبض على هؤلاء المتمردين على خلفية معارك مع القوات الحكومية في منطقة اليمن. واجتمع عدد من قادة التيارات الاسلامية لتحديد الخطوات التى سيتخذونها حتى موعد التصويت على مشروع الدستور المقترح منتصف الشهر الجاري. وتنتهي الفترة الرئاسية الثانية للرئيس احمدي نجاد في يونيو/حزيران المقبل ويمنع الدستور ترشحه للمرة الثالثة وينتظر ان يحظى قاليباف بدعم شعبي واسع كرجل قادر على انتشال البلاد من ازمتها الاقتصادية التى اخذت في التزايد بسبب العقوبات الدولية التى فرضت بشكل متتابع على ايران من قبل المجتمع الدولي بسبب برنامجها النووي. اتهم الحوثيين الحكومة بالتهميش ويسعون للحكم الذاتي. اشتباكات بين متظاهرين مصريين في القاهرة وكتبت الجريدة عن تبادل مؤيدي ومعارضي الرئيس المصري محمد مرسي القاء القنابل الحارقة والحجارة اثناء الاشتباكات التى اندلعت بين الفريقين في محيط القصر الرئاسي في القاهرة. تتهم الحكومة الحوثيون بالسعي لإعادة نظام الإمامة الزيدية وبدعم إيران لهم. وتواجه بني حشيش تحديات أخرى كالحركة الانفصالية في الجنوب وتهديد القاعدة.,"حكمت السلطات اليمنية على العشرات من المتمردين الحوثيين بالسجن لمدد تتراوح بين 3 و12 عامًا.  ألقي القبض على هؤلاء المتمردين على خلفية معارك مع القوات الحكومية في منطقة بني حشيش.  اتهم الحوثيون الحكومة بالتهميش ويسعون للحكم الذاتي.  تتهم الحكومة الحوثيين بالسعي لإعادة نظام الإمامة الزيدية وبدعم إيران لهم.  وتواجه اليمن تحديات أخرى كالحركة الانفصالية في الجنوب  وتهديد القاعدة.
",السلطات اليمنية تحاكم وتحكم بالسجن على العديد من المتمردين الحوثيين بعد معارك في منطقة بني حشيش. الحوثيون يتهمون الحكومة بالتهميش والفساد، بينما تتهم الحكومة إيران بدعم المتمردين. اليمن تواجه أيضًا حركة انفصالية في الجنوب وتهديدًا من تنظيم القاعدة.,السلطات اليمنية تحاكم وتحكم بالسجن على العديد من المتمردين الحوثيين بعد معارك في منطقة بني حشيش. الحوثيون يتهمون الحكومة بالتهميش والفساد، بينما تتهم الحكومة إيران بدعم المتمردين. اليمن تواجه أيضًا حركة انفصالية في الجنوب وتهديدًا من تنظيم القاعدة.,أصدرت محكمة يمنية حكما بالإعدام على ثمانية أشخاص بتهمة المشاركة في تمرد الحوثيين شمالي العاصمة صنعاء.,177,"{'should_shuffle': False, 'should_remove_sentence': True, 'should_remove_random_words': {'enabled': False, 'number': 0}, 'should_replace_words_with_lemma_form': {'enabled': False, 'number': 0}, 'should_replace_conjunctions': {'enabled': False, 'number': 0}, 'should_replace_ner': {'enabled': True, 'number': 5}, 'should_random_sentence_from_another_paper': {'enabled': True, 'number': 3}}",2,"['Relevance', 'Consistency']"
"تتعرض مدينة دونيتسك لقصف شبه يومي، وكان قصف يوم الأربعاء هو الأشد منذ عطلة نهاية الأسبوع الماضي.  لم يُحدد مصدر القصف إن كان من القوات الحكومية أو الانفصاليين. وشهدت مدينة لوهانسك، الخاضعة لسيطرة الانفصاليين، قتالاً أيضاً.  واتهم قائد عسكري في حلف الناتو روسيا بنقل قوات ""ذات قدرة نووية"" إلى شبه جزيرة القرم.  ولم يتأكد الناتو من نصب أسلحة نووية فعلية في القرم.
",,دونيتسك تتعرض للقصف اليومي والقصف الأخير كان الأعنف. لم يتم تحديد مصدر القصف بعد. هناك أيضًا تقارير عن قتال في لوهانسك. القائد العسكري لحلف الناتو اتهم روسيا بنقل قوات نووية إلى القرم. الناتو غير متأكد مما إذا كانت روسيا قد نصبت بالفعل أسلحة نووية في القرم.,,تعرضت مدينة دونيتسك شرقي اوكرانيا، المركز الصناعي الواقع تحت سيطرة الانفصاليين الموالين لروسيا، لقصف مدفعي عنيف يوم الاربعاء.,316,"{'should_shuffle': False, 'should_remove_sentence': True, 'should_remove_random_words': {'enabled': False, 'number': 0}, 'should_replace_words_with_lemma_form': {'enabled': False, 'number': 0}, 'should_replace_conjunctions': {'enabled': False, 'number': 0}, 'should_replace_ner': {'enabled': True, 'number': 7}, 'should_random_sentence_from_another_paper': {'enabled': True, 'number': 2}}",0,
"تصدر """" شباك بريطاني متفوق على ""رش"". حقق """" عائد قدر 1 مليون جن أليني لاسترن حل ""رش"" ثاني عائد 987 استرلف جن. جاء ""بلو جاسم"" ثالث رغم عرض محدود. شهد ""استرلث"" بداية جيد ##لندالندا حصل على إشادة نقاد استرداء جيمس ماكفوي. يتناول """" قصة استرب بحث عن ابن مفقود لذلك يحقق مفتش شرطة قضة.","تصدّر فيلم ""السجناء"" شباك التذاكر البريطاني متفوقًا على فيلم ""رش"".  حقق ""السجناء"" عائدات قدرها 1.37 مليون جنيه استرليني، بينما حلّ ""رش"" ثانيًا بعائدات 987 ألف جنيه.  جاء فيلم ""بلو جاسمين"" ثالثًا رغم عرضه المحدود.  شهد فيلم ""فيلث"" بداية جيدة في اسكتلندا، وحصل على إشادة النقاد لأداء جيمس ماكفوي.  يتناول فيلم ""السجناء"" قصة أب يبحث عن ابنته المفقودة، بينما يحقق مفتش شرطة في القضية.
","فيلم ""السجناء"" يحقق عوائد مرتفعة ويتفوق على فيلم ""رش"" وفيلم ""بلو جاسمين"". يحكي الفيلم قصة مفتش شرطة يتولى التحقيق في عملية خطف. تم توقع ترشيح كيت بلانشيت لجائزة الأوسكار عن دورها في الفيلم.","فيلم ""السجناء"" يحقق عوائد مرتفعة ويتفوق على فيلم ""رش"" وفيلم ""بلو جاسمين"". يحكي الفيلم قصة مفتش شرطة يتولى التحقيق في عملية خطف. تم توقع ترشيح كيت بلانشيت لجائزة الأوسكار عن دورها في الفيلم.","أعاد فيلم هيو جاكمان، وجيك غيلينال الجديد ""السجناء"" النجاح الذي لاقاه في أمريكا بتصدره صندوق التذاكر في بريطانيا بعد عرض افتتاحه فيها خلال عطلة نهاية الأسبوع.",507,"{'should_shuffle': False, 'should_remove_sentence': False, 'should_remove_random_words': {'enabled': True, 'number': 14}, 'should_replace_words_with_lemma_form': {'enabled': True, 'number': 49}, 'should_replace_conjunctions': {'enabled': True, 'number': 2}, 'should_replace_ner': {'enabled': True, 'number': 5}, 'should_random_sentence_from_another_paper': {'enabled': False, 'number': 0}}",2,"['Consistency', 'Coherence']"
"استهدفت تفجيراتٌ معبدَ بودغايا البوذي في ولاية بيهار الهندية، ما أسفر عن إصابة شخصين بجروح طفيفة وأضرار مادية محدودة.  ألقت الشرطة القبض على مشتبهٍ به وتقوم بتحليل تسجيلات الكاميرات لتحديد هوية الجناة.  وصفت السلطاتُ التفجيراتِ بأنها ""ذات سمات إرهابية""  وتستخدم عبوات متفجرة منخفضة الحدة.  أدان رئيس الوزراء الهندي الهجوم بشدة، مؤكداً عدم التسامح مع استهداف أماكن العبادة. معبد بودغايا مزارٌ بوذيٌّ مقدسٌ، وهو أحد أقدم معابد الهند.
","استهدفت تفجيراتٌ معبدَ بودغايا البوذي في ولاية بيهار الهندية، ما أسفر عن إصابة شخصين بجروح طفيفة وأضرار مادية محدودة.  ألقت الشرطة القبض على مشتبهٍ به وتقوم بتحليل تسجيلات الكاميرات لتحديد هوية الجناة.  وصفت السلطاتُ التفجيراتِ بأنها ""ذات سمات إرهابية""  وتستخدم عبوات متفجرة منخفضة الحدة.  أدان رئيس الوزراء الهندي الهجوم بشدة، مؤكداً عدم التسامح مع استهداف أماكن العبادة. معبد بودغايا مزارٌ بوذيٌّ مقدسٌ، وهو أحد أقدم معابد الهند.
",تفجيرات في معبد بودغايا بالهند تسفر عن إصابة شخصين. الشرطة تعتقل مشتبهًا وتوصف العبوات بأنها منخفضة الحدة. الهجمات على البوذيين نادرة في الهند وتزايدت المشاحنات بين البوذيين والمسلمين في المنطقة.,تفجيرات في معبد بودغايا بالهند تسفر عن إصابة شخصين. الشرطة تعتقل مشتبهًا وتوصف العبوات بأنها منخفضة الحدة. الهجمات على البوذيين نادرة في الهند وتزايدت المشاحنات بين البوذيين والمسلمين في المنطقة.,ألقت سلطات التحقيق الاتحادية الهندية القبض يوم الاثنين على رجل للاشتباه في ضلوعه في سلسلة التفجيرات التي تعرض لها معبد بودغايا، أقدس المعابد البوذية في البلاد.,562,"{'should_shuffle': True, 'should_remove_sentence': False, 'should_remove_random_words': {'enabled': False, 'number': 0}, 'should_replace_words_with_lemma_form': {'enabled': False, 'number': 0}, 'should_replace_conjunctions': {'enabled': False, 'number': 0}, 'should_replace_ner': {'enabled': False, 'number': 0}, 'should_random_sentence_from_another_paper': {'enabled': False, 'number': 0}}",2,['Fluency']
"انتخب الكرادلة الأرجنتيني فرانسيس الأول بابا جديدا بعد أربع جولات تصويت. ظهر فرانسيس في شرفة كاتدرائية القديس بطرس ودعا إلى ""روح الأخوة"" بين الكاثوليك وطالبهم بالدعاء له. عبر البابا الجديد عن امتنانه لسلفه بنديكتوس السادس عشر وعبر عن انفتاحه على الكنائس الأخرى. يعتبر فرانسيس أول بابا غير أوروبي منذ قرون وله خبرة في أجهزة الفاتيكان.","انتخب الكرادلة الأرجنتيني فرانسيس الأول بابا جديدا بعد أربع جولات تصويت. ظهر فرانسيس في شرفة كاتدرائية القديس بطرس ودعا إلى ""روح الأخوة"" بين الكاثوليك وطالبهم بالدعاء له. عبر البابا الجديد عن امتنانه لسلفه بنديكتوس السادس عشر وعبر عن انفتاحه على الكنائس الأخرى. يعتبر فرانسيس أول بابا غير أوروبي منذ قرون وله خبرة في أجهزة الفاتيكان.",في هذا النص، يتحدث عن انتخاب البابا فرانسيس وظهوره الأول أمام الحشود في ساحة القديس بطرس. استقبل البابا الجديد الترحيب والابتهالات من الحشود ودعا إلى التحلي بروح الأخوة بين أتباع الكنيسة الكاثوليكية. تجمعت الحشود في ساحة القديس بطرس للاحتفال بانتخاب البابا الجديد ورفعوا الأعلام والمظلات. كما شكر البابا فرانسيس الأول سلفه بنديكتوس السادس عشر وأعرب عن فخره بأنه أول بابا من خارج القارة الأوروبية منذ قرون عديدة.,في هذا النص، يتحدث عن انتخاب البابا فرانسيس الأول وظهوره الأول أمام الحشود في ساحة القديس بطرس. استقبل البابا الجديد الترحيب والابتهالات من الحشود ودعا إلى التحلي بروح الأخوة بين أتباع الكنيسة الكاثوليكية. كما شكر البابا فرانسيس سلفه بنديكتوس السادس عشر وأعرب عن فخره بأنه أول بابا من خارج القارة الأوروبية منذ قرون عديدة. تجمعت الحشود في ساحة القديس بطرس للاحتفال بانتخاب البابا الجديد ورفعوا الأعلام والمظلات.,اختير الكاردينال الارجنتيني خورخيه برغوليو على رأس الكنيسة الكاثوليكية خلفا لبنديكتوس السادس عشر، وسيحمل من الآن فصاعدا لقب البابا فرانسيس الأول، وهو أول بابا من أمريكا اللاتينية.,654,"{'should_shuffle': True, 'should_remove_sentence': False, 'should_remove_random_words': {'enabled': False, 'number': 0}, 'should_replace_words_with_lemma_form': {'enabled': False, 'number': 0}, 'should_replace_conjunctions': {'enabled': False, 'number': 0}, 'should_replace_ner': {'enabled': True, 'number': 9}, 'should_random_sentence_from_another_paper': {'enabled': False, 'number': 0}}",1,"['Fluency', 'Consistency']"
شاد وزير تعاون عامل جنس في تقديم المعلومات. علن وزير الزامبي، ناكونتالو ناكونلوفيا، عن تسجيل 85 إصابة جديد فيروس كار 76 من بين سائق الشاحنات وعاملات. أكد ناكونلوفيا أن وضع شيدي ساء غاي مما دفع رئيس إغلاق حدود مؤقتا. بلغ إجمال زامبي 267 حال 7 وفيات. ساهم سائق شاحن نقل عدوى تنقل بين المدن تعامل مع جنس.,"أعلن وزير الصحة الزامبي، شيتالو شيلوفيا، عن تسجيل 85 إصابة جديدة بفيروس كورونا، 76 منها بين سائقي الشاحنات وعاملات الجنس.  وأشاد الوزير بتعاون عاملات الجنس في تتبع الإصابات وتقديم المعلومات.  وأكد  شيلوفيا أن الوضع في ناكوندي سيء للغاية، مما دفع الرئيس لإغلاق الحدود مؤقتًا. وبلغ إجمالي الإصابات في زامبيا 267 حالة، مع 7 وفيات. ويساهم  سائقو الشاحنات في نقل العدوى بسبب تنقلهم بين المدن  وتعاملهم مع عاملات الجنس.
",وزير الصحة الزامبي يعلن عن ارتفاع حالات الإصابة بفيروس كورونا بين سائقي الشاحنات وعاملات الجنس، ويشيد بتعاون عاملات الجنس في تتبع الحالات. تم إغلاق الحدود مؤقتًا في مدينة ناكوندي بسبب الوضع السيء للفيروس. السلطات في شرق أفريقيا تعبر عن قلقها من انتشار الوباء بين سائقي الشاحنات.,وزير الصحة الزامبي يعلن عن ارتفاع حالات الإصابة بفيروس كورونا بين سائقي الشاحنات وعاملات الجنس، ويشيد بتعاون عاملات الجنس في تتبع الحالات. تم إغلاق الحدود مؤقتًا في مدينة ناكوندي بسبب الوضع السيء للفيروس. السلطات في شرق أفريقيا تعبر عن قلقها من انتشار الوباء بين سائقي الشاحنات.,وجهت وزارة الصحة في زامبيا الشكر لعدد من عاملات الجنس في البلاد، بسبب تعاونهن مع السلطات في تتبع المصابين بوباء كورونا في البلاد، بعد ارتفاع أعداد الإصابات في مدينة ناكوندي الحدودية.,37,"{'should_shuffle': True, 'should_remove_sentence': False, 'should_remove_random_words': {'enabled': True, 'number': 11}, 'should_replace_words_with_lemma_form': {'enabled': True, 'number': 46}, 'should_replace_conjunctions': {'enabled': True, 'number': 3}, 'should_replace_ner': {'enabled': True, 'number': 3}, 'should_random_sentence_from_another_paper': {'enabled': False, 'number': 0}}",2,"['Fluency', 'Consistency', 'Coherence']"
"حُكم على أوسكار بيستوريوس بالسجن خمس سنوات لقتل صديقته ريفا ستينكامب.  أدين بيستوريوس بالقتل غير العمد بعد إطلاق النار على ستينكامب عبر باب الحمام في منزله.  ورغم أن النيابة طلبت عقوبة لا تقل عن عشر سنوات،  إلا أن القاضية ثوكوزيل ماسيبا أصدرت حكماً بالسجن خمس سنوات، بالإضافة إلى ثلاث سنوات مع وقف التنفيذ بتهمة حيازة سلاح ناري.  عبّرت أسرة ستينكامب عن ارتياحها للحكم. بينما  ما زال بإمكان كلا الطرفين الطعن على الحكم.
",,أدين بيستوريوس بالسجن لمدة 6 سنوات بتهمة قتل صديقته عن طريق الإهمال. قد يتم تقديم طعن ضد الحكم.,,قضت محكمة جنوب إفريقية في بريتوريا بالسجن خمس سنوات على العداء العالمي الشهير أوسكار بيستوريوس لقتله صديقته ريفا ستينكامب العام الماضي.,324,"{'should_shuffle': False, 'should_remove_sentence': True, 'should_remove_random_words': {'enabled': True, 'number': 8}, 'should_replace_words_with_lemma_form': {'enabled': True, 'number': 37}, 'should_replace_conjunctions': {'enabled': True, 'number': 5}, 'should_replace_ner': {'enabled': True, 'number': 7}, 'should_random_sentence_from_another_paper': {'enabled': True, 'number': 3}}",0,
